rok,pohlavie,vek
2010,Muži,62
2010,Ženy,58.5
2011,Muži,62
2011,Ženy,59.1
2012,Muži,62
2012,Ženy,59.6
2013,Muži,62
2013,Ženy,60.2
2014,Muži,62
2014,Ženy,60.7
2015,Muži,62
2015,Ženy,61.3
2016,Muži,62
2016,Ženy,61.8
2017,Muži,62.1
2017,Ženy,62.1
2018,Muži,62.2
2018,Ženy,62.2
2019,Muži,62.4
2019,Ženy,62.4
2020,Muži,62.5
2020,Ženy,62.5
2021,Muži,62.6
2021,Ženy,62.6
2022,Muži,62.7
2022,Ženy,62.7
2023,Muži,62.8
2023,Ženy,62.8
2024,Muži,63
2024,Ženy,63
2025,Muži,63.1
2025,Ženy,63.1
2026,Muži,63.1
2026,Ženy,63.1
2027,Muži,63.1
2027,Ženy,63.1
2028,Muži,63.1
2028,Ženy,63.1
2029,Muži,63.1
2029,Ženy,63.1
2030,Muži,63.1
2030,Ženy,63.1
2031,Muži,63.2
2031,Ženy,63.2
2032,Muži,63.2
2032,Ženy,63.2
2033,Muži,63.3
2033,Ženy,63.3
2034,Muži,63.3
2034,Ženy,63.3
2035,Muži,63.4
2035,Ženy,63.4
2036,Muži,63.4
2036,Ženy,63.4
2037,Muži,63.5
2037,Ženy,63.5
2038,Muži,63.5
2038,Ženy,63.5
2039,Muži,63.6
2039,Ženy,63.6
2040,Muži,63.7
2040,Ženy,63.7
2041,Muži,63.7
2041,Ženy,63.7
2042,Muži,63.8
2042,Ženy,63.8
2043,Muži,63.8
2043,Ženy,63.8
2044,Muži,63.9
2044,Ženy,63.9
2045,Muži,63.9
2045,Ženy,63.9
2046,Muži,64
2046,Ženy,64
2047,Muži,64
2047,Ženy,64
2048,Muži,64.1
2048,Ženy,64.1
2049,Muži,64.1
2049,Ženy,64.1
2050,Muži,64.2
2050,Ženy,64.2
2051,Muži,64.3
2051,Ženy,64.3
2052,Muži,64.3
2052,Ženy,64.3
2053,Muži,64.4
2053,Ženy,64.4
2054,Muži,64.4
2054,Ženy,64.4
2055,Muži,64.5
2055,Ženy,64.5
2056,Muži,64.5
2056,Ženy,64.5
2057,Muži,64.6
2057,Ženy,64.6
2058,Muži,64.6
2058,Ženy,64.6
2059,Muži,64.7
2059,Ženy,64.7
2060,Muži,64.8
2060,Ženy,64.8
2061,Muži,64.8
2061,Ženy,64.8
2062,Muži,64.9
2062,Ženy,64.9
2063,Muži,64.9
2063,Ženy,64.9
2064,Muži,65
2064,Ženy,65
2065,Muži,65
2065,Ženy,65
2066,Muži,65.1
2066,Ženy,65.1
2067,Muži,65.1
2067,Ženy,65.1
2068,Muži,65.2
2068,Ženy,65.2
2069,Muži,65.2
2069,Ženy,65.2
2070,Muži,65.3
2070,Ženy,65.3
