krajina,skupina,zavislost_starych,vydavky_hdp
Slovensko,V4,32.5,7.4
Česko,V4,33.8,8.1
Poľsko,V4,30.9,10.3
Maďarsko,V4,33.1,7.9
Rakúsko,EU-15,31.7,13.1
Nemecko,EU-15,37.2,10.4
Francúzsko,EU-15,38.1,13.6
Taliansko,EU-15,39.4,15.4
Španielsko,EU-15,33.6,11.7
Holandsko,EU-15,33.4,12
Švédsko,Ostatné EU,33,10.6
Dánsko,Ostatné EU,32.4,9.8
Fínsko,Ostatné EU,39.5,13
Portugalsko,EU-15,38,13.4
Grécko,EU-15,38.2,15.2
Belgicko,EU-15,31.1,11.5
Írsko,EU-15,24.2,5.1
Slovinsko,Ostatné EU,34.6,10.3
Chorvátsko,Ostatné EU,35.2,10.4
Rumunsko,Ostatné EU,31.8,8.3
Bulharsko,Ostatné EU,37.9,8.6
Estónsko,Ostatné EU,32.6,7.6
Litva,Ostatné EU,33.9,7.5
Lotyšsko,Ostatné EU,34,8.4
