rok,priemerna_mzda_eur,priemerny_dochodok_eur,nahradovy_pomer
2010,764.9,355.6,46.49
2011,799.5,369.4,46.21
2012,825.5,377.3,45.71
2013,851.4,387.4,45.5
2014,881.8,399.9,45.35
2015,922.9,412.7,44.72
2016,952.6,428.3,44.96
2017,981.9,436.7,44.47
2018,1016.8,446.2,43.88
2019,1053,462.4,43.91
2020,1098.5,484,44.06
2021,1134.8,490.1,43.19
2022,1176.2,503.4,42.8
2023,1224.1,523,42.72
2024,1259.9,531.9,42.21
2025,1308.4,553.1,42.27
2026,1361.7,574.7,42.2
2027,1408.6,591.8,42.01
2028,1451.3,596.3,41.08
2029,1506.8,615.9,40.88
2030,1558.5,641.8,41.18
2031,1614.7,650.1,40.26
2032,1672.4,668.6,39.98
2033,1734.3,690.3,39.8
2034,1795,713.3,39.74
2035,1866.7,744.2,39.87
2036,1934.3,759,39.24
2037,1998.2,780.2,39.05
2038,2078.3,798.9,38.44
2039,2147.1,822.2,38.3
2040,2229.2,848.6,38.07
