rok,aktiva_hdp,sporitelia_tis
2010,4.11,1471.3
2011,4.69,1495.2
2012,5.64,1518.1
2013,6.27,1544.4
2014,7.12,1570.3
2015,7.82,1587.6
2016,8.33,1611
2017,9.06,1627.9
2018,9.76,1656.4
2019,10.54,1685.2
2020,11.4,1699.7
2021,11.99,1723.9
2022,12.86,1745.5
2023,13.46,1759.9
2024,14.27,1791.5
2025,14.97,1818.8
2026,15.64,1835.5
2027,16.45,1847.4
2028,17,1880
2029,17.68,1901.6
2030,18.39,1920.4
2031,19.33,1938.7
2032,19.96,1961.5
2033,20.7,1980.5
2034,21.46,2011.9
2035,22.19,2039
2036,22.69,2047.7
2037,23.69,2080.6
2038,24.33,2093.5
2039,24.88,2110.3
2040,25.85,2137.9
