rok,skupina,pocet_tis
2010,Platitelia,2286.9
2010,Poberatelia,1287.7
2011,Platitelia,2279.6
2011,Poberatelia,1303
2012,Platitelia,2292.9
2012,Poberatelia,1304.6
2013,Platitelia,2295.6
2013,Poberatelia,1316.1
2014,Platitelia,2307
2014,Poberatelia,1331.4
2015,Platitelia,2311.6
2015,Poberatelia,1342.6
2016,Platitelia,2310
2016,Poberatelia,1349.4
2017,Platitelia,2308.5
2017,Poberatelia,1355.7
2018,Platitelia,2316.2
2018,Poberatelia,1367.8
2019,Platitelia,2328
2019,Poberatelia,1372.4
2020,Platitelia,2326.6
2020,Poberatelia,1383.6
2021,Platitelia,2325.2
2021,Poberatelia,1393.2
2022,Platitelia,2326.5
2022,Poberatelia,1405.6
2023,Platitelia,2308.3
2023,Poberatelia,1406.6
2024,Platitelia,2306.5
2024,Poberatelia,1419.2
2025,Platitelia,2293.8
2025,Poberatelia,1434.9
2026,Platitelia,2277.7
2026,Poberatelia,1436.7
2027,Platitelia,2255.6
2027,Poberatelia,1448.8
2028,Platitelia,2254.3
2028,Poberatelia,1458.6
2029,Platitelia,2245.3
2029,Poberatelia,1468.5
2030,Platitelia,2228.2
2030,Poberatelia,1481.5
2031,Platitelia,2208.2
2031,Poberatelia,1484.7
2032,Platitelia,2193.9
2032,Poberatelia,1502
2033,Platitelia,2189.9
2033,Poberatelia,1502.1
2034,Platitelia,2179.9
2034,Poberatelia,1512.1
2035,Platitelia,2164.6
2035,Poberatelia,1524
2036,Platitelia,2141.8
2036,Poberatelia,1540.1
2037,Platitelia,2140
2037,Poberatelia,1548.7
2038,Platitelia,2126.2
2038,Poberatelia,1567.4
2039,Platitelia,2108.7
2039,Poberatelia,1579.2
2040,Platitelia,2096.3
2040,Poberatelia,1590
2041,Platitelia,2083.7
2041,Poberatelia,1594.8
2042,Platitelia,2076.1
2042,Poberatelia,1614.5
2043,Platitelia,2062.7
2043,Poberatelia,1620.4
2044,Platitelia,2053.5
2044,Poberatelia,1639.1
2045,Platitelia,2031.6
2045,Poberatelia,1648.8
2046,Platitelia,2024.5
2046,Poberatelia,1660.7
2047,Platitelia,2004
2047,Poberatelia,1673.5
2048,Platitelia,2004.4
2048,Poberatelia,1686.5
2049,Platitelia,1977.9
2049,Poberatelia,1697.9
2050,Platitelia,1966.6
2050,Poberatelia,1707.9
2051,Platitelia,1964.8
2051,Poberatelia,1720.5
2052,Platitelia,1943.7
2052,Poberatelia,1740.4
2053,Platitelia,1929.7
2053,Poberatelia,1749.4
2054,Platitelia,1927.8
2054,Poberatelia,1765.4
2055,Platitelia,1908.1
2055,Poberatelia,1780.2
2056,Platitelia,1900.7
2056,Poberatelia,1790.7
2057,Platitelia,1878.9
2057,Poberatelia,1801.5
2058,Platitelia,1869.3
2058,Poberatelia,1807.2
2059,Platitelia,1863.4
2059,Poberatelia,1826.8
2060,Platitelia,1848.2
2060,Poberatelia,1841.7
2061,Platitelia,1833.7
2061,Poberatelia,1848
2062,Platitelia,1827.9
2062,Poberatelia,1864.5
2063,Platitelia,1809.6
2063,Poberatelia,1876.1
2064,Platitelia,1796.3
2064,Poberatelia,1881.9
2065,Platitelia,1789.7
2065,Poberatelia,1901
2066,Platitelia,1770.6
2066,Poberatelia,1917.3
2067,Platitelia,1753.7
2067,Poberatelia,1928.7
2068,Platitelia,1746.3
2068,Poberatelia,1939.2
2069,Platitelia,1741.4
2069,Poberatelia,1946.2
2070,Platitelia,1729
2070,Poberatelia,1965.7
