dochodkovy_vek,tfr,saldo_hdp
62,1.2,3.35
62,1.3,3.29
62,1.4,3.23
62,1.5,3.16
62,1.6,3.1
62,1.7,3.04
62,1.8,2.98
62,1.9,2.92
62,2,2.85
62,2.1,2.79
62,2.2,2.73
62.5,1.2,3.2
62.5,1.3,3.14
62.5,1.4,3.08
62.5,1.5,3.02
62.5,1.6,2.96
62.5,1.7,2.9
62.5,1.8,2.84
62.5,1.9,2.78
62.5,2,2.71
62.5,2.1,2.65
62.5,2.2,2.59
63,1.2,3.06
63,1.3,3
63,1.4,2.94
63,1.5,2.88
63,1.6,2.82
63,1.7,2.76
63,1.8,2.7
63,1.9,2.64
63,2,2.58
63,2.1,2.52
63,2.2,2.46
63.5,1.2,2.91
63.5,1.3,2.85
63.5,1.4,2.79
63.5,1.5,2.73
63.5,1.6,2.67
63.5,1.7,2.61
63.5,1.8,2.55
63.5,1.9,2.5
63.5,2,2.44
63.5,2.1,2.38
63.5,2.2,2.32
64,1.2,2.76
64,1.3,2.7
64,1.4,2.64
64,1.5,2.59
64,1.6,2.53
64,1.7,2.47
64,1.8,2.41
64,1.9,2.36
64,2,2.3
64,2.1,2.24
64,2.2,2.18
64.5,1.2,2.61
64.5,1.3,2.56
64.5,1.4,2.5
64.5,1.5,2.44
64.5,1.6,2.39
64.5,1.7,2.33
64.5,1.8,2.27
64.5,1.9,2.22
64.5,2,2.16
64.5,2.1,2.1
64.5,2.2,2.05
65,1.2,2.47
65,1.3,2.41
65,1.4,2.35
65,1.5,2.3
65,1.6,2.24
65,1.7,2.19
65,1.8,2.13
65,1.9,2.08
65,2,2.02
65,2.1,1.96
65,2.2,1.91
65.5,1.2,2.32
65.5,1.3,2.26
65.5,1.4,2.21
65.5,1.5,2.15
65.5,1.6,2.1
65.5,1.7,2.04
65.5,1.8,1.99
65.5,1.9,1.93
65.5,2,1.88
65.5,2.1,1.83
65.5,2.2,1.77
66,1.2,2.17
66,1.3,2.12
66,1.4,2.06
66,1.5,2.01
66,1.6,1.96
66,1.7,1.9
66,1.8,1.85
66,1.9,1.79
66,2,1.74
66,2.1,1.69
66,2.2,1.63
66.5,1.2,2.02
66.5,1.3,1.97
66.5,1.4,1.92
66.5,1.5,1.86
66.5,1.6,1.81
66.5,1.7,1.76
66.5,1.8,1.71
66.5,1.9,1.65
66.5,2,1.6
66.5,2.1,1.55
66.5,2.2,1.5
67,1.2,1.88
67,1.3,1.82
67,1.4,1.77
67,1.5,1.72
67,1.6,1.67
67,1.7,1.62
67,1.8,1.57
67,1.9,1.51
67,2,1.46
67,2.1,1.41
67,2.2,1.36
67.5,1.2,1.73
67.5,1.3,1.68
67.5,1.4,1.63
67.5,1.5,1.58
67.5,1.6,1.53
67.5,1.7,1.48
67.5,1.8,1.42
67.5,1.9,1.37
67.5,2,1.32
67.5,2.1,1.27
67.5,2.2,1.22
68,1.2,1.58
68,1.3,1.53
68,1.4,1.48
68,1.5,1.43
68,1.6,1.38
68,1.7,1.33
68,1.8,1.28
68,1.9,1.23
68,2,1.18
68,2.1,1.14
68,2.2,1.09
68.5,1.2,1.43
68.5,1.3,1.38
68.5,1.4,1.34
68.5,1.5,1.29
68.5,1.6,1.24
68.5,1.7,1.19
68.5,1.8,1.14
68.5,1.9,1.09
68.5,2,1.05
68.5,2.1,1
68.5,2.2,0.95
69,1.2,1.29
69,1.3,1.24
69,1.4,1.19
69,1.5,1.14
69,1.6,1.1
69,1.7,1.05
69,1.8,1
69,1.9,0.95
69,2,0.91
69,2.1,0.86
69,2.2,0.81
69.5,1.2,1.14
69.5,1.3,1.09
69.5,1.4,1.05
69.5,1.5,1
69.5,1.6,0.95
69.5,1.7,0.91
69.5,1.8,0.86
69.5,1.9,0.81
69.5,2,0.77
69.5,2.1,0.72
69.5,2.2,0.67
70,1.2,0.99
70,1.3,0.94
70,1.4,0.9
70,1.5,0.85
70,1.6,0.81
70,1.7,0.76
70,1.8,0.72
70,1.9,0.67
70,2,0.63
70,2.1,0.58
70,2.2,0.54
