mesiac,kategoria,pocet
2021-01,Starobný,1094184
2021-01,Predčasný starobný,11720
2021-01,Invalidný,232829
2021-01,Sirotský,20151
2021-01,Vdovský sólo,28489
2021-01,Vdovecký sólo,5467
2021-01,Spolu,1412316
2021-02,Starobný,1085427
2021-02,Predčasný starobný,11984
2021-02,Invalidný,232526
2021-02,Sirotský,20772
2021-02,Vdovský sólo,28388
2021-02,Vdovecký sólo,5456
2021-02,Spolu,1404117
2021-03,Starobný,1083038
2021-03,Predčasný starobný,11917
2021-03,Invalidný,231741
2021-03,Sirotský,20977
2021-03,Vdovský sólo,28255
2021-03,Vdovecký sólo,5440
2021-03,Spolu,1400971
2021-04,Starobný,1080271
2021-04,Predčasný starobný,12024
2021-04,Invalidný,230357
2021-04,Sirotský,20681
2021-04,Vdovský sólo,28035
2021-04,Vdovecký sólo,5417
2021-04,Spolu,1396388
2021-05,Starobný,1081483
2021-05,Predčasný starobný,11953
2021-05,Invalidný,229236
2021-05,Sirotský,19900
2021-05,Vdovský sólo,27785
2021-05,Vdovecký sólo,5393
2021-05,Spolu,1395411
2021-06,Starobný,1084226
2021-06,Predčasný starobný,11798
2021-06,Invalidný,228315
2021-06,Sirotský,19943
2021-06,Vdovský sólo,27641
2021-06,Vdovecký sólo,5404
2021-06,Spolu,1397080
2021-07,Starobný,1087176
2021-07,Predčasný starobný,11917
2021-07,Invalidný,228010
2021-07,Sirotský,17938
2021-07,Vdovský sólo,27525
2021-07,Vdovecký sólo,5433
2021-07,Spolu,1397874
2021-08,Starobný,1090935
2021-08,Predčasný starobný,10271
2021-08,Invalidný,227878
2021-08,Sirotský,18192
2021-08,Vdovský sólo,27534
2021-08,Vdovecký sólo,5455
2021-08,Spolu,1400239
2021-09,Starobný,1091310
2021-09,Predčasný starobný,10958
2021-09,Invalidný,228220
2021-09,Sirotský,17352
2021-09,Vdovský sólo,27305
2021-09,Vdovecký sólo,5438
2021-09,Spolu,1400650
2021-10,Starobný,1092782
2021-10,Predčasný starobný,11711
2021-10,Invalidný,228653
2021-10,Sirotský,17653
2021-10,Vdovský sólo,27179
2021-10,Vdovecký sólo,5421
2021-10,Spolu,1403572
2021-11,Starobný,1095027
2021-11,Predčasný starobný,11545
2021-11,Invalidný,228059
2021-11,Sirotský,17600
2021-11,Vdovský sólo,27124
2021-11,Vdovecký sólo,5421
2021-11,Spolu,1404994
