mesiac,ukazovatel,pocet
2021-01,Dôchodcovia (osoby),1412316
2021-01,Vyplácané dôchodky,1718763
2021-02,Dôchodcovia (osoby),1404117
2021-02,Vyplácané dôchodky,1705783
2021-03,Dôchodcovia (osoby),1400971
2021-03,Vyplácané dôchodky,1701423
2021-04,Dôchodcovia (osoby),1396388
2021-04,Vyplácané dôchodky,1696014
2021-05,Dôchodcovia (osoby),1395411
2021-05,Vyplácané dôchodky,1695166
2021-06,Dôchodcovia (osoby),1397080
2021-06,Vyplácané dôchodky,1698352
2021-07,Dôchodcovia (osoby),1397874
2021-07,Vyplácané dôchodky,1701481
2021-08,Dôchodcovia (osoby),1400239
2021-08,Vyplácané dôchodky,1705055
2021-09,Dôchodcovia (osoby),1400650
2021-09,Vyplácané dôchodky,1705973
2021-10,Dôchodcovia (osoby),1403572
2021-10,Vyplácané dôchodky,1709584
2021-11,Dôchodcovia (osoby),1404994
2021-11,Vyplácané dôchodky,1711366
2021-12,Dôchodcovia (osoby),1407595
2021-12,Vyplácané dôchodky,1713913
2022-01,Dôchodcovia (osoby),1406978
2022-01,Vyplácané dôchodky,1712896
2022-02,Dôchodcovia (osoby),1403120
2022-02,Vyplácané dôchodky,1706944
2022-03,Dôchodcovia (osoby),1404688
2022-03,Vyplácané dôchodky,1709563
2022-04,Dôchodcovia (osoby),1402931
2022-04,Vyplácané dôchodky,1707944
2022-05,Dôchodcovia (osoby),1402747
2022-05,Vyplácané dôchodky,1708353
2022-06,Dôchodcovia (osoby),1406713
2022-06,Vyplácané dôchodky,1713837
2022-07,Dôchodcovia (osoby),1406741
2022-07,Vyplácané dôchodky,1714744
2022-08,Dôchodcovia (osoby),1406486
2022-08,Vyplácané dôchodky,1714053
2022-09,Dôchodcovia (osoby),1406804
2022-09,Vyplácané dôchodky,1714224
2022-10,Dôchodcovia (osoby),1408875
2022-10,Vyplácané dôchodky,1717019
2022-11,Dôchodcovia (osoby),1411962
2022-11,Vyplácané dôchodky,1721005
2022-12,Dôchodcovia (osoby),1413377
2022-12,Vyplácané dôchodky,1722333
2023-01,Dôchodcovia (osoby),1414565
2023-01,Vyplácané dôchodky,1723469
2023-02,Dôchodcovia (osoby),1412224
2023-02,Vyplácané dôchodky,1719436
2023-03,Dôchodcovia (osoby),1415240
2023-03,Vyplácané dôchodky,1723152
2023-04,Dôchodcovia (osoby),1415078
2023-04,Vyplácané dôchodky,1723204
2023-05,Dôchodcovia (osoby),1415777
2023-05,Vyplácané dôchodky,1723892
2023-06,Dôchodcovia (osoby),1417582
2023-06,Vyplácané dôchodky,1726206
2023-07,Dôchodcovia (osoby),1419005
2023-07,Vyplácané dôchodky,1728719
2023-08,Dôchodcovia (osoby),1419600
2023-08,Vyplácané dôchodky,1729451
2023-09,Dôchodcovia (osoby),1419722
2023-09,Vyplácané dôchodky,1728535
2023-10,Dôchodcovia (osoby),1423372
2023-10,Vyplácané dôchodky,1733059
2023-11,Dôchodcovia (osoby),1424843
2023-11,Vyplácané dôchodky,1735001
2023-12,Dôchodcovia (osoby),1426994
2023-12,Vyplácané dôchodky,1736929
2024-01,Dôchodcovia (osoby),1429342
2024-01,Vyplácané dôchodky,1739312
2024-02,Dôchodcovia (osoby),1432721
2024-02,Vyplácané dôchodky,1740738
2024-03,Dôchodcovia (osoby),1438876
2024-03,Vyplácané dôchodky,1747495
2024-04,Dôchodcovia (osoby),1442517
2024-04,Vyplácané dôchodky,1751601
2024-05,Dôchodcovia (osoby),1447263
2024-05,Vyplácané dôchodky,1757438
2024-06,Dôchodcovia (osoby),1452924
2024-06,Vyplácané dôchodky,1764081
2024-07,Dôchodcovia (osoby),1454661
2024-07,Vyplácané dôchodky,1766402
2024-08,Dôchodcovia (osoby),1456997
2024-08,Vyplácané dôchodky,1768859
2024-09,Dôchodcovia (osoby),1458194
2024-09,Vyplácané dôchodky,1770330
2024-10,Dôchodcovia (osoby),1459633
2024-10,Vyplácané dôchodky,1772140
2024-11,Dôchodcovia (osoby),1463712
2024-11,Vyplácané dôchodky,1777160
2024-12,Dôchodcovia (osoby),1465702
2024-12,Vyplácané dôchodky,1779367
