mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2012-01,Starobný,959442,348.04,320163
2012-01,Predčasný starobný,30577,368.14,11156
2012-01,Invalidný,223536,262.37,56012
2012-01,Vdovský,299245,146.97,41699
2012-01,Vdovecký,38043,95.83,3543
2012-02,Starobný,958522,348.29,347188
2012-02,Predčasný starobný,29756,368.9,11960
2012-02,Invalidný,224425,262.07,60995
2012-02,Vdovský,298212,147.03,45225
2012-02,Vdovecký,37991,96.14,3842
2012-03,Starobný,960381,348.53,366667
2012-03,Predčasný starobný,29391,370.62,12427
2012-03,Invalidný,224548,261.86,64466
2012-03,Vdovský,298006,147.08,47575
2012-03,Vdovecký,38080,96.37,4056
2012-04,Starobný,962951,348.81,336997.12
2012-04,Predčasný starobný,29003,371.64,11180.32
2012-04,Invalidný,225368,261.69,58939.98
2012-04,Vdovský,297924,147.09,43675.33
2012-04,Vdovecký,38270,96.57,3738.53
2012-05,Starobný,965043,349.03,330432.88
2012-05,Predčasný starobný,27986,371.76,10548.68
2012-05,Invalidný,225777,261.39,57406.02
2012-05,Vdovský,297634,147.09,42457.67
2012-05,Vdovecký,38359,96.67,3668.47
2012-06,Starobný,967344,349.22,364832
2012-06,Predčasný starobný,27289,372.28,11337
2012-06,Invalidný,226403,261.1,63494
2012-06,Vdovský,297532,147.05,46846
2012-06,Vdovecký,38375,96.72,4042
2012-07,Starobný,971364,349.36,318724
2012-07,Predčasný starobný,26512,372.66,9573
2012-07,Invalidný,227076,260.91,55261
2012-07,Vdovský,298064,147.02,40681
2012-07,Vdovecký,38598,96.76,3519
2012-08,Starobný,972297,349.58,371457
2012-08,Predčasný starobný,25731,373.11,10778
2012-08,Invalidný,227162,260.54,64322
2012-08,Vdovský,296980,146.97,47254
2012-08,Vdovecký,38455,96.82,4092
2012-09,Starobný,974263,349.78,322026
2012-09,Predčasný starobný,25013,374.49,9143
2012-09,Invalidný,227175,260.28,55490
2012-09,Vdovský,296568,147.03,40771
2012-09,Vdovecký,38471,96.97,3554
2012-10,Starobný,975951,349.99,382873
2012-10,Predčasný starobný,24944,374.04,10709
2012-10,Invalidný,227188,259.97,65788
2012-10,Vdovský,296799,147.11,48442
2012-10,Vdovecký,38644,97.13,4236
2012-11,Starobný,979290,350.16,353456
2012-11,Predčasný starobný,24927,373.63,9798
2012-11,Invalidný,227770,259.71,60665
2012-11,Vdovský,297727,147.2,44766
2012-11,Vdovecký,38952,97.3,3971
2012-12,Starobný,980863,350.3,350924
2012-12,Predčasný starobný,24404,372.99,9422
2012-12,Invalidný,227801,259.45,60079
2012-12,Vdovský,297828,147.25,44452
2012-12,Vdovecký,39049,97.39,3907
2013-01,Starobný,981576,361.2,354378
2013-01,Predčasný starobný,24163,383.52,9350
2013-01,Invalidný,227902,267,59973
2013-01,Vdovský,297810,151.66,44567
2013-01,Vdovecký,39191,101.3,3987
2013-02,Starobný,976965,361.75,366258
2013-02,Predčasný starobný,25788,388.17,10517
2013-02,Invalidný,228402,266.54,62730
2013-02,Vdovský,296264,151.79,46096
2013-02,Vdovecký,39001,101.76,4146
2013-03,Starobný,977160,362.12,365540
2013-03,Predčasný starobný,25584,387.51,10432
2013-03,Invalidný,228914,266.08,62315
2013-03,Vdovský,296186,151.87,45993
2013-03,Vdovecký,39107,101.95,4152
2013-04,Starobný,976917,362.52,370283
2013-04,Predčasný starobný,25445,385.92,10459
2013-04,Invalidný,229441,265.64,63224
2013-04,Vdovský,295959,151.92,46394
2013-04,Vdovecký,39205,102.11,4186
2013-05,Starobný,976774,362.92,362902
2013-05,Predčasný starobný,25659,384.45,10212
2013-05,Invalidný,229976,265.22,62017
2013-05,Vdovský,295952,151.97,45517
2013-05,Vdovecký,39317,102.29,4147
2013-06,Starobný,976570,363.26,335562
2013-06,Predčasný starobný,25884,382.72,9450
2013-06,Invalidný,230573,264.76,57125
2013-06,Vdovský,295904,151.99,42125
2013-06,Vdovecký,39398,102.21,3909
2013-07,Starobný,977673,363.55,364655
2013-07,Predčasný starobný,25275,382.27,9975
2013-07,Invalidný,231191,264.29,61865
2013-07,Vdovský,295898,152.04,45573
2013-07,Vdovecký,39499,102.33,4198
2013-08,Starobný,978349,363.83,392773
2013-08,Predčasný starobný,24583,381.34,10344
2013-08,Invalidný,231489,263.99,66355
2013-08,Vdovský,295469,152.06,48932
2013-08,Vdovecký,39470,102.3,4471
2013-09,Starobný,979367,364.03,340773
2013-09,Predčasný starobný,24116,382.19,8880
2013-09,Invalidný,231474,263.61,57369
2013-09,Vdovský,294895,152.08,42236
2013-09,Vdovecký,39378,102.35,3904
2013-10,Starobný,981683,364.25,435072
2013-10,Predčasný starobný,23701,382.41,11067
2013-10,Invalidný,231526,263.25,73151
2013-10,Vdovský,295003,152.16,54030
2013-10,Vdovecký,39575,102.5,5017
2013-11,Starobný,986014,364.39,333262
2013-11,Predčasný starobný,23000,382.41,8235
2013-11,Invalidný,231694,263.06,55628
2013-11,Vdovský,295858,152.21,41379
2013-11,Vdovecký,39880,102.63,3823
2013-12,Starobný,988277,364.51,369714
2013-12,Predčasný starobný,21935,382.88,8723
2013-12,Invalidný,231547,262.75,61843
2013-12,Vdovský,295894,152.24,45860
