mesiac,druh,pocet
2009-01,Starobný,1369
2009-01,Predčasný starobný,1249
2009-01,Invalidný,1823
2009-01,Vdovský,155
2009-01,Vdovecký,50
2009-02,Starobný,1443
2009-02,Predčasný starobný,645
2009-02,Invalidný,1115
2009-02,Vdovský,1823
2009-02,Vdovecký,605
2009-03,Starobný,1475
2009-03,Predčasný starobný,2503
2009-03,Invalidný,1201
2009-03,Vdovský,844
2009-03,Vdovecký,315
2009-04,Starobný,2426
2009-04,Predčasný starobný,2360
2009-04,Invalidný,1257
2009-04,Vdovský,1045
2009-04,Vdovecký,387
2009-05,Starobný,2257
2009-05,Predčasný starobný,1887
2009-05,Invalidný,1521
2009-05,Vdovský,1203
2009-05,Vdovecký,405
2009-06,Starobný,1544
2009-06,Predčasný starobný,1801
2009-06,Invalidný,1659
2009-06,Vdovský,1147
2009-06,Vdovecký,394
2009-07,Starobný,2082
2009-07,Predčasný starobný,2403
2009-07,Invalidný,2162
2009-07,Vdovský,1214
2009-07,Vdovecký,400
2009-08,Starobný,1262
2009-08,Predčasný starobný,2106
2009-08,Invalidný,1543
2009-08,Vdovský,986
2009-08,Vdovecký,308
2009-09,Starobný,1052
2009-09,Predčasný starobný,1631
2009-09,Invalidný,1434
2009-09,Vdovský,1340
2009-09,Vdovecký,476
2009-10,Starobný,1010
2009-10,Predčasný starobný,1709
2009-10,Invalidný,1634
2009-10,Vdovský,1394
2009-10,Vdovecký,445
2009-11,Starobný,1003
2009-11,Predčasný starobný,1675
2009-11,Invalidný,1601
2009-11,Vdovský,1353
2009-11,Vdovecký,500
2009-12,Starobný,863
2009-12,Predčasný starobný,1643
2009-12,Invalidný,1648
2009-12,Vdovský,1192
2009-12,Vdovecký,447
2010-01,Starobný,733
2010-01,Predčasný starobný,2274
2010-01,Invalidný,1443
2010-01,Vdovský,1041
2010-01,Vdovecký,373
2010-02,Starobný,519
2010-02,Predčasný starobný,2803
2010-02,Invalidný,872
2010-02,Vdovský,905
2010-02,Vdovecký,283
2010-03,Starobný,1528
2010-03,Predčasný starobný,3030
2010-03,Invalidný,2264
2010-03,Vdovský,1311
2010-03,Vdovecký,456
2010-04,Starobný,1758
2010-04,Predčasný starobný,2299
2010-04,Invalidný,2662
2010-04,Vdovský,1184
2010-04,Vdovecký,408
2010-05,Starobný,1867
2010-05,Predčasný starobný,2344
2010-05,Invalidný,2736
2010-05,Vdovský,1205
2010-05,Vdovecký,386
2010-06,Starobný,2114
2010-06,Predčasný starobný,2243
2010-06,Invalidný,2843
2010-06,Vdovský,1586
2010-06,Vdovecký,509
2010-07,Starobný,1841
2010-07,Predčasný starobný,2582
2010-07,Invalidný,2368
2010-07,Vdovský,1210
2010-07,Vdovecký,419
2010-08,Starobný,1554
2010-08,Predčasný starobný,2668
2010-08,Invalidný,2211
2010-08,Vdovský,1135
2010-08,Vdovecký,342
2010-09,Starobný,1840
2010-09,Predčasný starobný,2941
2010-09,Invalidný,1953
2010-09,Vdovský,1247
2010-09,Vdovecký,391
2010-10,Starobný,2547
2010-10,Predčasný starobný,3494
2010-10,Invalidný,2633
2010-10,Vdovský,1334
2010-10,Vdovecký,422
2010-11,Starobný,1928
2010-11,Predčasný starobný,2047
2010-11,Invalidný,1970
2010-11,Vdovský,1090
2010-11,Vdovecký,345
2010-12,Starobný,1834
2010-12,Predčasný starobný,1870
2010-12,Invalidný,2118
2010-12,Vdovský,918
2010-12,Vdovecký,311
2011-01,Starobný,2294
2011-01,Predčasný starobný,1266
2011-01,Invalidný,2559
2011-01,Vdovský,1403
2011-01,Vdovecký,488
2011-02,Starobný,1726
2011-02,Predčasný starobný,1308
2011-02,Invalidný,2334
2011-02,Vdovský,1384
2011-02,Vdovecký,458
2011-03,Starobný,1263
2011-03,Predčasný starobný,1528
2011-03,Invalidný,2501
2011-03,Vdovský,1250
2011-03,Vdovecký,456
2011-04,Starobný,1059
2011-04,Predčasný starobný,954
2011-04,Invalidný,1985
2011-04,Vdovský,1363
2011-04,Vdovecký,482
2011-05,Starobný,960
2011-05,Predčasný starobný,871
2011-05,Invalidný,2362
2011-05,Vdovský,1269
2011-05,Vdovecký,473
2011-06,Starobný,859
2011-06,Predčasný starobný,801
2011-06,Invalidný,2202
2011-06,Vdovský,1256
2011-06,Vdovecký,404
2011-07,Starobný,789
2011-07,Predčasný starobný,954
2011-07,Invalidný,2047
2011-07,Vdovský,1122
2011-07,Vdovecký,362
2011-08,Starobný,832
2011-08,Predčasný starobný,1185
2011-08,Invalidný,1827
2011-08,Vdovský,1106
2011-08,Vdovecký,402
2011-09,Starobný,766
2011-09,Predčasný starobný,1105
2011-09,Invalidný,1635
2011-09,Vdovský,1128
2011-09,Vdovecký,398
2011-10,Starobný,945
2011-10,Predčasný starobný,1255
2011-10,Invalidný,1932
2011-10,Vdovský,1189
2011-10,Vdovecký,400
2011-11,Starobný,1595
2011-11,Predčasný starobný,1205
2011-11,Invalidný,2211
2011-11,Vdovský,1200
2011-11,Vdovecký,404
2011-12,Starobný,1218
2011-12,Predčasný starobný,861
2011-12,Invalidný,1523
2011-12,Vdovský,907
2011-12,Vdovecký,301
2012-01,Starobný,1957
2012-01,Predčasný starobný,1788
2012-01,Invalidný,2507
2012-01,Vdovský,1136
2012-01,Vdovecký,381
2012-02,Starobný,2281
2012-02,Predčasný starobný,1958
2012-02,Invalidný,1965
2012-02,Vdovský,1192
2012-02,Vdovecký,430
2012-03,Starobný,2334
2012-03,Predčasný starobný,1393
2012-03,Invalidný,2123
2012-03,Vdovský,1251
2012-03,Vdovecký,464
2012-04,Starobný,2337
2012-04,Predčasný starobný,1317
2012-04,Invalidný,2044
2012-04,Vdovský,1213
2012-04,Vdovecký,417
2012-05,Starobný,2309
2012-05,Predčasný starobný,1363
2012-05,Invalidný,2131
2012-05,Vdovský,1240
2012-05,Vdovecký,345
2012-06,Starobný,2776
2012-06,Predčasný starobný,1525
2012-06,Invalidný,2196
2012-06,Vdovský,1283
2012-06,Vdovecký,446
2012-07,Starobný,2317
2012-07,Predčasný starobný,1018
2012-07,Invalidný,1748
2012-07,Vdovský,1140
2012-07,Vdovecký,392
2012-08,Starobný,2368
2012-08,Predčasný starobný,1522
2012-08,Invalidný,1672
2012-08,Vdovský,1022
2012-08,Vdovecký,364
2012-09,Starobný,2505
