mesiac,druh,pocet
2009-01,Starobný,924624
2009-01,Predčasný starobný,58987
2009-01,Invalidný,201102
2009-01,Vdovský,303902
2009-01,Vdovecký,33911
2009-02,Starobný,925673
2009-02,Predčasný starobný,52737
2009-02,Invalidný,200581
2009-02,Vdovský,301662
2009-02,Vdovecký,33676
2009-03,Starobný,927078
2009-03,Predčasný starobný,51141
2009-03,Invalidný,200406
2009-03,Vdovský,301855
2009-03,Vdovecký,33811
2009-04,Starobný,926435
2009-04,Predčasný starobný,52591
2009-04,Invalidný,201028
2009-04,Vdovský,302308
2009-04,Vdovecký,34086
2009-05,Starobný,927384
2009-05,Predčasný starobný,53825
2009-05,Invalidný,201320
2009-05,Vdovský,302132
2009-05,Vdovecký,34218
2009-06,Starobný,928421
2009-06,Predčasný starobný,54245
2009-06,Invalidný,201733
2009-06,Vdovský,301900
2009-06,Vdovecký,34304
2009-07,Starobný,929301
2009-07,Predčasný starobný,54842
2009-07,Invalidný,202691
2009-07,Vdovský,301912
2009-07,Vdovecký,34523
2009-08,Starobný,930218
2009-08,Predčasný starobný,56078
2009-08,Invalidný,202990
2009-08,Vdovský,301873
2009-08,Vdovecký,34538
2009-09,Starobný,931502
2009-09,Predčasný starobný,56596
2009-09,Invalidný,203296
2009-09,Vdovský,301987
2009-09,Vdovecký,34596
2009-10,Starobný,930400
2009-10,Predčasný starobný,56932
2009-10,Invalidný,203419
2009-10,Vdovský,301662
2009-10,Vdovecký,34725
2009-11,Starobný,930201
2009-11,Predčasný starobný,57447
2009-11,Invalidný,203896
2009-11,Vdovský,302002
2009-11,Vdovecký,35005
2009-12,Starobný,931795
2009-12,Predčasný starobný,56352
2009-12,Invalidný,204378
2009-12,Vdovský,302238
2009-12,Vdovecký,35267
2010-01,Starobný,930687
2010-01,Predčasný starobný,57152
2010-01,Invalidný,205885
2010-01,Vdovský,302751
2010-01,Vdovecký,35546
2010-02,Starobný,928924
2010-02,Predčasný starobný,56125
2010-02,Invalidný,206080
2010-02,Vdovský,301404
2010-02,Vdovecký,35490
2010-03,Starobný,930443
2010-03,Predčasný starobný,55137
2010-03,Invalidný,205395
2010-03,Vdovský,301220
2010-03,Vdovecký,35552
2010-04,Starobný,932866
2010-04,Predčasný starobný,54586
2010-04,Invalidný,205582
2010-04,Vdovský,301192
2010-04,Vdovecký,35717
2010-05,Starobný,934845
2010-05,Predčasný starobný,53913
2010-05,Invalidný,206461
2010-05,Vdovský,301058
2010-05,Vdovecký,35864
2010-06,Starobný,937235
2010-06,Predčasný starobný,53081
2010-06,Invalidný,207933
2010-06,Vdovský,301018
2010-06,Vdovecký,35882
2010-07,Starobný,939417
2010-07,Predčasný starobný,52154
2010-07,Invalidný,209023
2010-07,Vdovský,300822
2010-07,Vdovecký,35977
2010-08,Starobný,941797
2010-08,Predčasný starobný,51461
2010-08,Invalidný,210177
2010-08,Vdovský,300579
2010-08,Vdovecký,35997
2010-09,Starobný,944728
2010-09,Predčasný starobný,50792
2010-09,Invalidný,211097
2010-09,Vdovský,300482
2010-09,Vdovecký,36050
2010-10,Starobný,946276
2010-10,Predčasný starobný,51587
2010-10,Invalidný,212270
2010-10,Vdovský,300033
2010-10,Vdovecký,36003
2010-11,Starobný,949464
2010-11,Predčasný starobný,51094
2010-11,Invalidný,212955
2010-11,Vdovský,300283
2010-11,Vdovecký,36203
2010-12,Starobný,954661
2010-12,Predčasný starobný,47893
2010-12,Invalidný,213834
2010-12,Vdovský,300405
2010-12,Vdovecký,36439
2011-01,Starobný,955429
2011-01,Predčasný starobný,48898
2011-01,Invalidný,217140
