mesiac,druh,priemer_eur
2012-01,Starobný,348.04
2012-01,Predčasný starobný,368.14
2012-01,Invalidný,262.37
2012-01,Vdovský,146.97
2012-01,Vdovecký,95.83
2012-02,Starobný,348.29
2012-02,Predčasný starobný,368.9
2012-02,Invalidný,262.07
2012-02,Vdovský,147.03
2012-02,Vdovecký,96.14
2012-03,Starobný,348.53
2012-03,Predčasný starobný,370.62
2012-03,Invalidný,261.86
2012-03,Vdovský,147.08
2012-03,Vdovecký,96.37
2012-04,Starobný,348.81
2012-04,Predčasný starobný,371.64
2012-04,Invalidný,261.69
2012-04,Vdovský,147.09
2012-04,Vdovecký,96.57
2012-05,Starobný,349.03
2012-05,Predčasný starobný,371.76
2012-05,Invalidný,261.39
2012-05,Vdovský,147.09
2012-05,Vdovecký,96.67
2012-06,Starobný,349.22
2012-06,Predčasný starobný,372.28
2012-06,Invalidný,261.1
2012-06,Vdovský,147.05
2012-06,Vdovecký,96.72
2012-07,Starobný,349.36
2012-07,Predčasný starobný,372.66
2012-07,Invalidný,260.91
2012-07,Vdovský,147.02
2012-07,Vdovecký,96.76
2012-08,Starobný,349.58
2012-08,Predčasný starobný,373.11
2012-08,Invalidný,260.54
2012-08,Vdovský,146.97
2012-08,Vdovecký,96.82
2012-09,Starobný,349.78
2012-09,Predčasný starobný,374.49
2012-09,Invalidný,260.28
2012-09,Vdovský,147.03
2012-09,Vdovecký,96.97
2012-10,Starobný,349.99
2012-10,Predčasný starobný,374.04
2012-10,Invalidný,259.97
2012-10,Vdovský,147.11
2012-10,Vdovecký,97.13
2012-11,Starobný,350.16
2012-11,Predčasný starobný,373.63
2012-11,Invalidný,259.71
2012-11,Vdovský,147.2
2012-11,Vdovecký,97.3
2012-12,Starobný,350.3
2012-12,Predčasný starobný,372.99
2012-12,Invalidný,259.45
2012-12,Vdovský,147.25
2012-12,Vdovecký,97.39
2013-01,Starobný,361.2
2013-01,Predčasný starobný,383.52
2013-01,Invalidný,267
2013-01,Vdovský,151.66
2013-01,Vdovecký,101.3
2013-02,Starobný,361.75
2013-02,Predčasný starobný,388.17
2013-02,Invalidný,266.54
2013-02,Vdovský,151.79
2013-02,Vdovecký,101.76
2013-03,Starobný,362.12
2013-03,Predčasný starobný,387.51
2013-03,Invalidný,266.08
2013-03,Vdovský,151.87
2013-03,Vdovecký,101.95
2013-04,Starobný,362.52
2013-04,Predčasný starobný,385.92
2013-04,Invalidný,265.64
2013-04,Vdovský,151.92
2013-04,Vdovecký,102.11
2013-05,Starobný,362.92
2013-05,Predčasný starobný,384.45
2013-05,Invalidný,265.22
2013-05,Vdovský,151.97
2013-05,Vdovecký,102.29
2013-06,Starobný,363.26
2013-06,Predčasný starobný,382.72
2013-06,Invalidný,264.76
2013-06,Vdovský,151.99
2013-06,Vdovecký,102.21
2013-07,Starobný,363.55
2013-07,Predčasný starobný,382.27
2013-07,Invalidný,264.29
2013-07,Vdovský,152.04
2013-07,Vdovecký,102.33
2013-08,Starobný,363.83
2013-08,Predčasný starobný,381.34
2013-08,Invalidný,263.99
2013-08,Vdovský,152.06
2013-08,Vdovecký,102.3
2013-09,Starobný,364.03
2013-09,Predčasný starobný,382.19
2013-09,Invalidný,263.61
2013-09,Vdovský,152.08
2013-09,Vdovecký,102.35
2013-10,Starobný,364.25
2013-10,Predčasný starobný,382.41
2013-10,Invalidný,263.25
2013-10,Vdovský,152.16
2013-10,Vdovecký,102.5
2013-11,Starobný,364.39
2013-11,Predčasný starobný,382.41
2013-11,Invalidný,263.06
2013-11,Vdovský,152.21
2013-11,Vdovecký,102.63
2013-12,Starobný,364.51
2013-12,Predčasný starobný,382.88
2013-12,Invalidný,262.75
2013-12,Vdovský,152.24
2013-12,Vdovecký,102.68
2014-01,Starobný,373.09
2014-01,Predčasný starobný,391.66
2014-01,Invalidný,268.49
2014-01,Vdovský,155.69
2014-01,Vdovecký,105.72
2014-02,Starobný,373.45
2014-02,Predčasný starobný,392.36
2014-02,Invalidný,268.39
2014-02,Vdovský,155.78
2014-02,Vdovecký,106.07
2014-03,Starobný,373.46
2014-03,Predčasný starobný,393.53
2014-03,Invalidný,267.87
2014-03,Vdovský,155.79
2014-03,Vdovecký,106.2
2014-04,Starobný,373.43
2014-04,Predčasný starobný,393.45
2014-04,Invalidný,267.62
2014-04,Vdovský,155.78
2014-04,Vdovecký,106.28
2014-05,Starobný,373.51
2014-05,Predčasný starobný,392.08
2014-05,Invalidný,267.33
2014-05,Vdovský,155.77
2014-05,Vdovecký,106.34
2014-06,Starobný,373.58
2014-06,Predčasný starobný,391.42
2014-06,Invalidný,266.97
2014-06,Vdovský,155.76
2014-06,Vdovecký,106.31
2014-07,Starobný,373.76
2014-07,Predčasný starobný,389.51
2014-07,Invalidný,266.71
2014-07,Vdovský,155.69
2014-07,Vdovecký,106.29
2014-08,Starobný,373.96
2014-08,Predčasný starobný,387.51
2014-08,Invalidný,266.34
2014-08,Vdovský,155.67
2014-08,Vdovecký,106.19
2014-09,Starobný,374.18
2014-09,Predčasný starobný,386.1
2014-09,Invalidný,266.07
2014-09,Vdovský,155.64
2014-09,Vdovecký,106.24
2014-10,Starobný,374.51
2014-10,Predčasný starobný,384.63
2014-10,Invalidný,265.65
2014-10,Vdovský,155.72
2014-10,Vdovecký,106.36
2014-11,Starobný,374.73
2014-11,Predčasný starobný,383.74
2014-11,Invalidný,265.34
2014-11,Vdovský,155.85
2014-11,Vdovecký,106.42
2014-12,Starobný,374.88
2014-12,Predčasný starobný,382.54
2014-12,Invalidný,264.99
2014-12,Vdovský,155.93
2014-12,Vdovecký,106.51
2015-01,Starobný,380.07
2015-01,Predčasný starobný,386.34
2015-01,Invalidný,268.08
2015-01,Vdovský,158.06
2015-01,Vdovecký,108.42
2015-02,Starobný,380.6
2015-02,Predčasný starobný,387.4
2015-02,Invalidný,267.51
2015-02,Vdovský,158.22
2015-02,Vdovecký,108.76
2015-03,Starobný,380.97
2015-03,Predčasný starobný,387.81
2015-03,Invalidný,267.06
2015-03,Vdovský,158.32
2015-03,Vdovecký,108.82
2015-04,Starobný,382.27
2015-04,Predčasný starobný,388.21
2015-04,Invalidný,266.58
2015-04,Vdovský,158.36
2015-04,Vdovecký,108.79
2015-05,Starobný,382.83
2015-05,Predčasný starobný,387.6
2015-05,Invalidný,266.14
2015-05,Vdovský,158.21
2015-05,Vdovecký,108.83
2015-06,Starobný,383.23
2015-06,Predčasný starobný,388.19
2015-06,Invalidný,265.84
2015-06,Vdovský,158.18
2015-06,Vdovecký,108.82
2015-07,Starobný,383.55
2015-07,Predčasný starobný,388.22
2015-07,Invalidný,265.56
2015-07,Vdovský,158.12
2015-07,Vdovecký,108.82
2015-08,Starobný,383.75
2015-08,Predčasný starobný,388.74
2015-08,Invalidný,265.19
2015-08,Vdovský,158.12
2015-08,Vdovecký,108.92
2015-09,Starobný,383.92
2015-09,Predčasný starobný,389.58
2015-09,Invalidný,264.86
2015-09,Vdovský,158.06
2015-09,Vdovecký,108.94
2015-10,Starobný,384.23
2015-10,Predčasný starobný,389.93
2015-10,Invalidný,264.52
2015-10,Vdovský,158.1
2015-10,Vdovecký,109.09
2015-11,Starobný,385.23
2015-11,Predčasný starobný,390.29
2015-11,Invalidný,264.38
2015-11,Vdovský,158.15
2015-11,Vdovecký,109.12
2015-12,Starobný,385.36
2015-12,Predčasný starobný,390.72
2015-12,Invalidný,264.13
2015-12,Vdovský,158.19
2015-12,Vdovecký,109.16
2016-01,Starobný,387.49
2016-01,Predčasný starobný,392.34
2016-01,Invalidný,265.05
2016-01,Vdovský,158.98
2016-01,Vdovecký,109.98
2016-02,Starobný,388.09
2016-02,Predčasný starobný,392.88
2016-02,Invalidný,264.65
2016-02,Vdovský,159.12
2016-02,Vdovecký,110.29
2016-03,Starobný,388.34
2016-03,Predčasný starobný,394.62
2016-03,Invalidný,264.42
2016-03,Vdovský,159.12
2016-03,Vdovecký,110.33
