mesiac,druh,kategoria,priemer_eur
2014-01,Invalidný,Vyplácané,268.49
2014-01,Invalidný,Novopriznané,242.83
2014-01,Predčasný starobný,Vyplácané,391.66
2014-01,Predčasný starobný,Novopriznané,400.52
2014-01,Starobný,Vyplácané,373.09
2014-01,Starobný,Novopriznané,411.64
2014-01,Vdovecký,Vyplácané,105.72
2014-01,Vdovecký,Novopriznané,118.07
2014-01,Vdovský,Vyplácané,155.69
2014-01,Vdovský,Novopriznané,176.16
2014-02,Invalidný,Vyplácané,268.39
2014-02,Invalidný,Novopriznané,236.6
2014-02,Predčasný starobný,Vyplácané,392.36
2014-02,Predčasný starobný,Novopriznané,417.91
2014-02,Starobný,Vyplácané,373.45
2014-02,Starobný,Novopriznané,420.05
2014-02,Vdovecký,Vyplácané,106.07
2014-02,Vdovecký,Novopriznané,115.51
2014-02,Vdovský,Vyplácané,155.78
2014-02,Vdovský,Novopriznané,171.36
2014-03,Invalidný,Vyplácané,267.87
2014-03,Invalidný,Novopriznané,240.65
2014-03,Predčasný starobný,Vyplácané,393.53
2014-03,Predčasný starobný,Novopriznané,404.8
2014-03,Starobný,Vyplácané,373.46
2014-03,Starobný,Novopriznané,420.98
2014-03,Vdovecký,Vyplácané,106.2
2014-03,Vdovecký,Novopriznané,123.02
2014-03,Vdovský,Vyplácané,155.79
2014-03,Vdovský,Novopriznané,171.76
2014-04,Invalidný,Vyplácané,267.62
2014-04,Invalidný,Novopriznané,242.23
2014-04,Predčasný starobný,Vyplácané,393.45
2014-04,Predčasný starobný,Novopriznané,380.07
2014-04,Starobný,Vyplácané,373.43
2014-04,Starobný,Novopriznané,425.72
2014-04,Vdovecký,Vyplácané,106.28
2014-04,Vdovecký,Novopriznané,116.09
2014-04,Vdovský,Vyplácané,155.78
2014-04,Vdovský,Novopriznané,173.68
2014-05,Invalidný,Vyplácané,267.33
2014-05,Invalidný,Novopriznané,238.76
2014-05,Predčasný starobný,Vyplácané,392.08
2014-05,Predčasný starobný,Novopriznané,389.11
2014-05,Starobný,Vyplácané,373.51
2014-05,Starobný,Novopriznané,418.35
2014-05,Vdovecký,Vyplácané,106.34
2014-05,Vdovecký,Novopriznané,114.95
2014-05,Vdovský,Vyplácané,155.77
2014-05,Vdovský,Novopriznané,173.62
2014-06,Invalidný,Vyplácané,266.97
2014-06,Invalidný,Novopriznané,239.34
2014-06,Predčasný starobný,Vyplácané,391.42
2014-06,Predčasný starobný,Novopriznané,390.2
2014-06,Starobný,Vyplácané,373.58
2014-06,Starobný,Novopriznané,419.88
2014-06,Vdovecký,Vyplácané,106.31
2014-06,Vdovecký,Novopriznané,113.09
2014-06,Vdovský,Vyplácané,155.76
2014-06,Vdovský,Novopriznané,173
2014-07,Invalidný,Vyplácané,266.71
2014-07,Invalidný,Novopriznané,237.41
2014-07,Predčasný starobný,Vyplácané,389.51
2014-07,Predčasný starobný,Novopriznané,387.57
2014-07,Starobný,Vyplácané,373.76
2014-07,Starobný,Novopriznané,417.5
2014-07,Vdovecký,Vyplácané,106.29
2014-07,Vdovecký,Novopriznané,112.48
2014-07,Vdovský,Vyplácané,155.69
2014-07,Vdovský,Novopriznané,172.24
2014-08,Invalidný,Vyplácané,266.34
2014-08,Invalidný,Novopriznané,232.33
2014-08,Predčasný starobný,Vyplácané,387.51
2014-08,Predčasný starobný,Novopriznané,406.63
2014-08,Starobný,Vyplácané,373.96
2014-08,Starobný,Novopriznané,429.81
2014-08,Vdovecký,Vyplácané,106.19
2014-08,Vdovecký,Novopriznané,119.88
2014-08,Vdovský,Vyplácané,155.67
2014-08,Vdovský,Novopriznané,169.8
2014-09,Invalidný,Vyplácané,266.07
2014-09,Invalidný,Novopriznané,236.18
2014-09,Predčasný starobný,Vyplácané,386.1
2014-09,Predčasný starobný,Novopriznané,403.51
2014-09,Starobný,Vyplácané,374.18
2014-09,Starobný,Novopriznané,449.61
2014-09,Vdovecký,Vyplácané,106.24
2014-09,Vdovecký,Novopriznané,115.64
2014-09,Vdovský,Vyplácané,155.64
2014-09,Vdovský,Novopriznané,174.67
2014-10,Invalidný,Vyplácané,265.65
2014-10,Invalidný,Novopriznané,234.31
2014-10,Predčasný starobný,Vyplácané,384.63
2014-10,Predčasný starobný,Novopriznané,394.29
2014-10,Starobný,Vyplácané,374.51
2014-10,Starobný,Novopriznané,467.41
2014-10,Vdovecký,Vyplácané,106.36
2014-10,Vdovecký,Novopriznané,111.45
2014-10,Vdovský,Vyplácané,155.72
2014-10,Vdovský,Novopriznané,172.25
2014-11,Invalidný,Vyplácané,265.34
2014-11,Invalidný,Novopriznané,235.21
2014-11,Predčasný starobný,Vyplácané,383.74
2014-11,Predčasný starobný,Novopriznané,400.28
2014-11,Starobný,Vyplácané,374.73
2014-11,Starobný,Novopriznané,478.07
2014-11,Vdovecký,Vyplácané,106.42
2014-11,Vdovecký,Novopriznané,120.52
2014-11,Vdovský,Vyplácané,155.85
2014-11,Vdovský,Novopriznané,174.31
2014-12,Invalidný,Vyplácané,264.99
2014-12,Invalidný,Novopriznané,233.49
2014-12,Predčasný starobný,Vyplácané,382.54
2014-12,Predčasný starobný,Novopriznané,400.3
2014-12,Starobný,Vyplácané,374.88
2014-12,Starobný,Novopriznané,476.06
2014-12,Vdovecký,Vyplácané,106.51
2014-12,Vdovecký,Novopriznané,119.19
2014-12,Vdovský,Vyplácané,155.93
2014-12,Vdovský,Novopriznané,175.99
2015-01,Invalidný,Vyplácané,268.08
2015-01,Invalidný,Novopriznané,239.13
2015-01,Predčasný starobný,Vyplácané,386.34
2015-01,Predčasný starobný,Novopriznané,423.85
2015-01,Starobný,Vyplácané,380.07
2015-01,Starobný,Novopriznané,488.89
2015-01,Vdovecký,Vyplácané,108.42
2015-01,Vdovecký,Novopriznané,117.2
2015-01,Vdovský,Vyplácané,158.06
2015-01,Vdovský,Novopriznané,171.23
2015-02,Invalidný,Vyplácané,267.51
2015-02,Invalidný,Novopriznané,243.22
2015-02,Predčasný starobný,Vyplácané,387.4
2015-02,Predčasný starobný,Novopriznané,416.48
2015-02,Starobný,Vyplácané,380.6
2015-02,Starobný,Novopriznané,502.97
2015-02,Vdovecký,Vyplácané,108.76
2015-02,Vdovecký,Novopriznané,118.91
2015-02,Vdovský,Vyplácané,158.22
2015-02,Vdovský,Novopriznané,170.26
2015-03,Invalidný,Vyplácané,267.06
2015-03,Invalidný,Novopriznané,239.09
2015-03,Predčasný starobný,Vyplácané,387.81
2015-03,Predčasný starobný,Novopriznané,402.47
2015-03,Starobný,Vyplácané,380.97
2015-03,Starobný,Novopriznané,505.15
2015-03,Vdovecký,Vyplácané,108.82
2015-03,Vdovecký,Novopriznané,114.44
2015-03,Vdovský,Vyplácané,158.32
2015-03,Vdovský,Novopriznané,172.4
2015-04,Invalidný,Vyplácané,266.58
2015-04,Invalidný,Novopriznané,237.01
2015-04,Predčasný starobný,Vyplácané,388.21
2015-04,Predčasný starobný,Novopriznané,386.09
2015-04,Starobný,Vyplácané,382.27
2015-04,Starobný,Novopriznané,506.04
2015-04,Vdovecký,Vyplácané,108.79
2015-04,Vdovecký,Novopriznané,110.8
2015-04,Vdovský,Vyplácané,158.36
2015-04,Vdovský,Novopriznané,170.41
2015-05,Invalidný,Vyplácané,266.14
2015-05,Invalidný,Novopriznané,243.7
2015-05,Predčasný starobný,Vyplácané,387.6
2015-05,Predčasný starobný,Novopriznané,396.69
2015-05,Starobný,Vyplácané,382.83
2015-05,Starobný,Novopriznané,483.78
2015-05,Vdovecký,Vyplácané,108.83
2015-05,Vdovecký,Novopriznané,116.25
2015-05,Vdovský,Vyplácané,158.21
2015-05,Vdovský,Novopriznané,169.68
2015-06,Invalidný,Vyplácané,265.84
2015-06,Invalidný,Novopriznané,241.54
2015-06,Predčasný starobný,Vyplácané,388.19
2015-06,Predčasný starobný,Novopriznané,391.36
2015-06,Starobný,Vyplácané,383.23
2015-06,Starobný,Novopriznané,453.86
2015-06,Vdovecký,Vyplácané,108.82
2015-06,Vdovecký,Novopriznané,119.97
2015-06,Vdovský,Vyplácané,158.18
2015-06,Vdovský,Novopriznané,175.75
2015-07,Invalidný,Vyplácané,265.56
2015-07,Invalidný,Novopriznané,233.92
2015-07,Predčasný starobný,Vyplácané,388.22
2015-07,Predčasný starobný,Novopriznané,404.06
2015-07,Starobný,Vyplácané,383.55
2015-07,Starobný,Novopriznané,451.82
2015-07,Vdovecký,Vyplácané,108.82
2015-07,Vdovecký,Novopriznané,118.51
2015-07,Vdovský,Vyplácané,158.12
2015-07,Vdovský,Novopriznané,173.17
2015-08,Invalidný,Vyplácané,265.19
2015-08,Invalidný,Novopriznané,238.04
2015-08,Predčasný starobný,Vyplácané,388.74
2015-08,Predčasný starobný,Novopriznané,401.94
2015-08,Starobný,Vyplácané,383.75
2015-08,Starobný,Novopriznané,434.56
2015-08,Vdovecký,Vyplácané,108.92
2015-08,Vdovecký,Novopriznané,123.88
2015-08,Vdovský,Vyplácané,158.12
2015-08,Vdovský,Novopriznané,178.1
2015-09,Invalidný,Vyplácané,264.86
2015-09,Invalidný,Novopriznané,235.33
2015-09,Predčasný starobný,Vyplácané,389.58
2015-09,Predčasný starobný,Novopriznané,400.37
2015-09,Starobný,Vyplácané,383.92
2015-09,Starobný,Novopriznané,444.98
2015-09,Vdovecký,Vyplácané,108.94
2015-09,Vdovecký,Novopriznané,119.95
2015-09,Vdovský,Vyplácané,158.06
2015-09,Vdovský,Novopriznané,171.68
2015-10,Invalidný,Vyplácané,264.52
2015-10,Invalidný,Novopriznané,242.95
2015-10,Predčasný starobný,Vyplácané,389.93
2015-10,Predčasný starobný,Novopriznané,395.42
2015-10,Starobný,Vyplácané,384.23
2015-10,Starobný,Novopriznané,434.94
2015-10,Vdovecký,Vyplácané,109.09
2015-10,Vdovecký,Novopriznané,112.98
2015-10,Vdovský,Vyplácané,158.1
2015-10,Vdovský,Novopriznané,179.59
2015-11,Invalidný,Vyplácané,264.38
2015-11,Invalidný,Novopriznané,237.74
2015-11,Predčasný starobný,Vyplácané,390.29
2015-11,Predčasný starobný,Novopriznané,391.7
2015-11,Starobný,Vyplácané,385.23
2015-11,Starobný,Novopriznané,438.76
2015-11,Vdovecký,Vyplácané,109.12
2015-11,Vdovecký,Novopriznané,121.18
2015-11,Vdovský,Vyplácané,158.15
2015-11,Vdovský,Novopriznané,174.4
2015-12,Invalidný,Vyplácané,264.13
2015-12,Invalidný,Novopriznané,236.58
2015-12,Predčasný starobný,Vyplácané,390.72
2015-12,Predčasný starobný,Novopriznané,392.54
2015-12,Starobný,Vyplácané,385.36
2015-12,Starobný,Novopriznané,442.69
2015-12,Vdovecký,Vyplácané,109.16
2015-12,Vdovecký,Novopriznané,122.91
2015-12,Vdovský,Vyplácané,158.19
2015-12,Vdovský,Novopriznané,190.07
2016-01,Invalidný,Vyplácané,265.05
2016-01,Invalidný,Novopriznané,240.66
2016-01,Predčasný starobný,Vyplácané,392.34
2016-01,Predčasný starobný,Novopriznané,391.03
2016-01,Starobný,Vyplácané,387.49
2016-01,Starobný,Novopriznané,436.37
2016-01,Vdovecký,Vyplácané,109.98
2016-01,Vdovecký,Novopriznané,126.35
2016-01,Vdovský,Vyplácané,158.98
2016-01,Vdovský,Novopriznané,187.47
2016-02,Invalidný,Vyplácané,264.65
2016-02,Invalidný,Novopriznané,241.25
2016-02,Predčasný starobný,Vyplácané,392.88
2016-02,Predčasný starobný,Novopriznané,415.55
2016-02,Starobný,Vyplácané,388.09
2016-02,Starobný,Novopriznané,443.48
2016-02,Vdovecký,Vyplácané,110.29
2016-02,Vdovecký,Novopriznané,115.72
2016-02,Vdovský,Vyplácané,159.12
2016-02,Vdovský,Novopriznané,172.44
2016-03,Invalidný,Vyplácané,264.42
2016-03,Invalidný,Novopriznané,243.23
2016-03,Predčasný starobný,Vyplácané,394.62
2016-03,Predčasný starobný,Novopriznané,415.21
2016-03,Starobný,Vyplácané,388.34
2016-03,Starobný,Novopriznané,442.46
2016-03,Vdovecký,Vyplácané,110.33
2016-03,Vdovecký,Novopriznané,90.4
2016-03,Vdovský,Vyplácané,159.12
2016-03,Vdovský,Novopriznané,171.08
2016-04,Invalidný,Vyplácané,264.11
2016-04,Invalidný,Novopriznané,239.34
2016-04,Predčasný starobný,Vyplácané,393.97
2016-04,Predčasný starobný,Novopriznané,403.92
2016-04,Starobný,Vyplácané,389.01
2016-04,Starobný,Novopriznané,448.9
2016-04,Vdovecký,Vyplácané,109.74
2016-04,Vdovecký,Novopriznané,85.58
2016-04,Vdovský,Vyplácané,159.11
2016-04,Vdovský,Novopriznané,169.32
2016-05,Invalidný,Vyplácané,263.79
2016-05,Invalidný,Novopriznané,244.61
2016-05,Predčasný starobný,Vyplácané,392.48
2016-05,Predčasný starobný,Novopriznané,406.55
2016-05,Starobný,Vyplácané,389.4
2016-05,Starobný,Novopriznané,456.31
2016-05,Vdovecký,Vyplácané,109.19
2016-05,Vdovecký,Novopriznané,92.34
2016-05,Vdovský,Vyplácané,159.03
2016-05,Vdovský,Novopriznané,161.19
2016-06,Invalidný,Vyplácané,263.46
2016-06,Invalidný,Novopriznané,237.28
2016-06,Predčasný starobný,Vyplácané,391.81
2016-06,Predčasný starobný,Novopriznané,400.86
2016-06,Starobný,Vyplácané,389.83
2016-06,Starobný,Novopriznané,461.23
2016-06,Vdovecký,Vyplácané,108.76
2016-06,Vdovecký,Novopriznané,92.39
2016-06,Vdovský,Vyplácané,158.9
2016-06,Vdovský,Novopriznané,160.05
2016-07,Invalidný,Vyplácané,263.14
2016-07,Invalidný,Novopriznané,237.38
2016-07,Predčasný starobný,Vyplácané,390.03
2016-07,Predčasný starobný,Novopriznané,394
2016-07,Starobný,Vyplácané,390.2
2016-07,Starobný,Novopriznané,481.93
2016-07,Vdovecký,Vyplácané,108.17
2016-07,Vdovecký,Novopriznané,93.84
2016-07,Vdovský,Vyplácané,158.81
2016-07,Vdovský,Novopriznané,159.16
2016-08,Invalidný,Vyplácané,262.67
2016-08,Invalidný,Novopriznané,233.36
2016-08,Predčasný starobný,Vyplácané,388.3
2016-08,Predčasný starobný,Novopriznané,405.27
2016-08,Starobný,Vyplácané,390.51
2016-08,Starobný,Novopriznané,492.31
2016-08,Vdovecký,Vyplácané,107.81
2016-08,Vdovecký,Novopriznané,97.75
2016-08,Vdovský,Vyplácané,158.79
2016-08,Vdovský,Novopriznané,159.32
2016-09,Invalidný,Vyplácané,262.24
2016-09,Invalidný,Novopriznané,245.78
2016-09,Predčasný starobný,Vyplácané,387.92
2016-09,Predčasný starobný,Novopriznané,416.65
2016-09,Starobný,Vyplácané,390.8
2016-09,Starobný,Novopriznané,501.56
2016-09,Vdovecký,Vyplácané,107.6
2016-09,Vdovecký,Novopriznané,105.12
2016-09,Vdovský,Vyplácané,158.75
2016-09,Vdovský,Novopriznané,161.36
2016-10,Invalidný,Vyplácané,261.94
2016-10,Invalidný,Novopriznané,240.76
2016-10,Predčasný starobný,Vyplácané,388.06
2016-10,Predčasný starobný,Novopriznané,412.47
2016-10,Starobný,Vyplácané,391.15
2016-10,Starobný,Novopriznané,501.14
2016-10,Vdovecký,Vyplácané,107.45
2016-10,Vdovecký,Novopriznané,107.76
2016-10,Vdovský,Vyplácané,158.79
2016-10,Vdovský,Novopriznané,170.97
2016-11,Invalidný,Vyplácané,261.68
2016-11,Invalidný,Novopriznané,240.54
2016-11,Predčasný starobný,Vyplácané,387.53
2016-11,Predčasný starobný,Novopriznané,405.49
2016-11,Starobný,Vyplácané,391.35
2016-11,Starobný,Novopriznané,502.75
2016-11,Vdovecký,Vyplácané,107.44
2016-11,Vdovecký,Novopriznané,111.39
2016-11,Vdovský,Vyplácané,158.86
2016-11,Vdovský,Novopriznané,170.53
2016-12,Invalidný,Vyplácané,261.41
2016-12,Invalidný,Novopriznané,242.35
2016-12,Predčasný starobný,Vyplácané,386.58
2016-12,Predčasný starobný,Novopriznané,404.19
2016-12,Starobný,Vyplácané,391.53
2016-12,Starobný,Novopriznané,502.25
2016-12,Vdovecký,Vyplácané,107.46
2016-12,Vdovecký,Novopriznané,114.57
2016-12,Vdovský,Vyplácané,158.91
2016-12,Vdovský,Novopriznané,176.62
2017-01,Invalidný,Vyplácané,266.56
2017-01,Invalidný,Novopriznané,237.36
2017-01,Predčasný starobný,Vyplácané,395.19
2017-01,Predčasný starobný,Novopriznané,438.86
2017-01,Starobný,Vyplácané,399.26
2017-01,Starobný,Novopriznané,498.67
2017-01,Vdovecký,Vyplácané,110.19
2017-01,Vdovecký,Novopriznané,118.33
2017-01,Vdovský,Vyplácané,162.13
2017-01,Vdovský,Novopriznané,177.85
2017-02,Invalidný,Vyplácané,266.31
2017-02,Invalidný,Novopriznané,245.61
2017-02,Predčasný starobný,Vyplácané,399.34
2017-02,Predčasný starobný,Novopriznané,453.76
