mesiac,druh,priemer_eur
2021-01,Starobný,498.53
2021-01,Predčasný starobný,486.71
2021-01,Invalidný,291.99
2021-01,Vdovský,280
2021-01,Vdovecký,224.74
2021-01,Sirotský,147.73
2021-01,Invalidný do 70 %,223.73
2021-01,Invalidný nad 70 %,405.15
2021-02,Starobný,499.11
2021-02,Predčasný starobný,487.56
2021-02,Invalidný,291.73
2021-02,Vdovský,280.23
2021-02,Vdovecký,225.07
2021-02,Sirotský,148.15
2021-02,Invalidný do 70 %,223.94
2021-02,Invalidný nad 70 %,405.5
2021-03,Starobný,499.38
2021-03,Predčasný starobný,490.93
2021-03,Invalidný,291.54
2021-03,Vdovský,280.36
2021-03,Vdovecký,225.55
2021-03,Sirotský,148.25
2021-03,Invalidný do 70 %,223.95
2021-03,Invalidný nad 70 %,405.5
2021-04,Starobný,500.7
2021-04,Predčasný starobný,494.31
2021-04,Invalidný,291.49
2021-04,Vdovský,280.59
2021-04,Vdovecký,225.78
2021-04,Sirotský,147.5
2021-04,Invalidný do 70 %,223.99
2021-04,Invalidný nad 70 %,405.6
2021-05,Starobný,501.38
2021-05,Predčasný starobný,494.57
2021-05,Invalidný,291.61
2021-05,Vdovský,280.83
2021-05,Vdovecký,225.78
2021-05,Sirotský,145.99
2021-05,Invalidný do 70 %,224.19
2021-05,Invalidný nad 70 %,405.83
2021-06,Starobný,502.32
2021-06,Predčasný starobný,494.2
2021-06,Invalidný,291.87
2021-06,Vdovský,281.14
2021-06,Vdovecký,225.63
2021-06,Sirotský,146.1
2021-06,Invalidný do 70 %,224.58
2021-06,Invalidný nad 70 %,406.19
2021-07,Starobný,503.2
2021-07,Predčasný starobný,493.53
2021-07,Invalidný,292.15
2021-07,Vdovský,281.75
2021-07,Vdovecký,226.01
2021-07,Sirotský,145
2021-07,Invalidný do 70 %,224.95
2021-07,Invalidný nad 70 %,406.63
2021-08,Starobný,503.86
2021-08,Predčasný starobný,499.87
2021-08,Invalidný,292.32
2021-08,Vdovský,282.29
2021-08,Vdovecký,226.44
2021-08,Sirotský,145.49
2021-08,Invalidný do 70 %,225.18
2021-08,Invalidný nad 70 %,407.07
2021-09,Starobný,504.42
2021-09,Predčasný starobný,502.75
2021-09,Invalidný,292.71
2021-09,Vdovský,282.18
2021-09,Vdovecký,226.61
2021-09,Sirotský,145.74
2021-09,Invalidný do 70 %,225.46
2021-09,Invalidný nad 70 %,407.74
2021-10,Starobný,504.97
2021-10,Predčasný starobný,503.9
2021-10,Invalidný,293.08
2021-10,Vdovský,282.28
2021-10,Vdovecký,227.03
2021-10,Sirotský,146.2
2021-10,Invalidný do 70 %,225.71
2021-10,Invalidný nad 70 %,408.26
2021-11,Starobný,505.15
2021-11,Predčasný starobný,502.17
2021-11,Invalidný,293.02
2021-11,Vdovský,282.31
2021-11,Vdovecký,227
2021-11,Sirotský,146.55
2021-11,Invalidný do 70 %,225.71
2021-11,Invalidný nad 70 %,408.29
2021-12,Starobný,505.68
2021-12,Predčasný starobný,500.4
2021-12,Invalidný,293.06
2021-12,Vdovský,282.76
2021-12,Vdovecký,227.61
2021-12,Sirotský,148.92
2021-12,Invalidný do 70 %,225.88
2021-12,Invalidný nad 70 %,408.52
2022-01,Starobný,511.63
2022-01,Predčasný starobný,505.13
2022-01,Invalidný,296.76
2022-01,Vdovský,286.59
2022-01,Vdovecký,230.89
2022-01,Sirotský,152.18
2022-01,Invalidný do 70 %,228.8
2022-01,Invalidný nad 70 %,413.93
2022-02,Starobný,512.45
2022-02,Predčasný starobný,504.73
2022-02,Invalidný,297.12
2022-02,Vdovský,286.87
2022-02,Vdovecký,231.74
2022-02,Sirotský,153.51
2022-02,Invalidný do 70 %,229.34
2022-02,Invalidný nad 70 %,414.99
2022-03,Starobný,512.93
2022-03,Predčasný starobný,508.35
2022-03,Invalidný,297.22
2022-03,Vdovský,287.25
2022-03,Vdovecký,231.95
2022-03,Sirotský,153.86
2022-03,Invalidný do 70 %,229.47
2022-03,Invalidný nad 70 %,415.31
2022-04,Starobný,514.38
2022-04,Predčasný starobný,509.48
2022-04,Invalidný,297.4
