mesiac,druh,vydavky_tis_eur
2009-01,Starobný,274993
2009-01,Predčasný starobný,19778
2009-01,Invalidný,47847
2009-01,Vdovský,38663
2009-01,Vdovecký,2687
2009-01,Sirotský,3578
2009-02,Starobný,301302
2009-02,Predčasný starobný,19394
2009-02,Invalidný,52074
2009-02,Vdovský,41888
2009-02,Vdovecký,2933
2009-02,Sirotský,3925
2009-03,Starobný,278298
2009-03,Predčasný starobný,17350
2009-03,Invalidný,47989
2009-03,Vdovský,38675
2009-03,Vdovecký,2724
2009-03,Sirotský,3641
2009-04,Starobný,339114
2009-04,Predčasný starobný,21632
2009-04,Invalidný,58460
2009-04,Vdovský,47164
2009-04,Vdovecký,3330
2009-04,Sirotský,4422
2009-05,Starobný,252967
2009-05,Predčasný starobný,16589
2009-05,Invalidný,43534
2009-05,Vdovský,34854
2009-05,Vdovecký,2463
2009-05,Sirotský,3321
2009-06,Starobný,297653
2009-06,Predčasný starobný,19586
2009-06,Invalidný,51608
2009-06,Vdovský,41104
2009-06,Vdovecký,2925
2009-06,Sirotský,3796
2009-07,Starobný,322736
2009-07,Predčasný starobný,21306
2009-07,Invalidný,56028
2009-07,Vdovský,44366
2009-07,Vdovecký,3184
2009-07,Sirotský,3937
2009-08,Starobný,300694
2009-08,Predčasný starobný,20388
2009-08,Invalidný,52143
2009-08,Vdovský,41334
2009-08,Vdovecký,2969
2009-08,Sirotský,3514
2009-09,Starobný,276955
2009-09,Predčasný starobný,18988
2009-09,Invalidný,47929
2009-09,Vdovský,38084
2009-09,Vdovecký,2757
2009-09,Sirotský,2956
2009-10,Starobný,324958
2009-10,Predčasný starobný,22368
2009-10,Invalidný,56165
2009-10,Vdovský,44698
2009-10,Vdovecký,3245
2009-10,Sirotský,3748
2009-11,Starobný,278074
2009-11,Predčasný starobný,19294
2009-11,Invalidný,48196
2009-11,Vdovský,38189
2009-11,Vdovecký,2807
2009-11,Sirotský,3383
2009-12,Starobný,347639
2009-12,Predčasný starobný,23557
2009-12,Invalidný,60286
2009-12,Vdovský,47789
2009-12,Vdovecký,3542
2009-12,Sirotský,4269
2010-01,Starobný,255329
2010-01,Predčasný starobný,17567
2010-01,Invalidný,44450
2010-01,Vdovský,35205
2010-01,Vdovecký,2643
2010-01,Sirotský,3196
2010-02,Starobný,313914
2010-02,Predčasný starobný,21341
2010-02,Invalidný,54642
2010-02,Vdovský,42973
2010-02,Vdovecký,3251
2010-02,Sirotský,3879
2010-03,Starobný,367760
2010-03,Predčasný starobný,24772
2010-03,Invalidný,64055
2010-03,Vdovský,50345
2010-03,Vdovecký,3802
2010-03,Sirotský,4561
2010-04,Starobný,286756
2010-04,Predčasný starobný,19000
2010-04,Invalidný,49635
2010-04,Vdovský,39058
2010-04,Vdovecký,2983
