rok,druh,vydavky_tis_eur
2021,Starobný,6358286
2021,Predčasný starobný,89744
2021,Invalidný,812666
2021,Vdovský,638203
2021,Vdovecký,78703
2021,Sirotský,37705
2022,Starobný,6575522
2022,Predčasný starobný,90333
2022,Invalidný,819331
2022,Vdovský,659464
2022,Vdovecký,84413
2022,Sirotský,40534
2023,Starobný,7976025
2023,Predčasný starobný,144603
2023,Invalidný,969881
2023,Vdovský,790559
2023,Vdovecký,103444
2023,Sirotský,48112
2023,Rodičovský,286068
2024,Starobný,8908136
2024,Predčasný starobný,461281
2024,Invalidný,1090988
2024,Vdovský,860557
2024,Vdovecký,115086
2024,Sirotský,54516
2024,Rodičovský,315989
2024,13. dôchodok,823019
