rok,mesiac,vydavky_tis_eur
2009,1,387546
2009,2,421516
2009,3,388677
2009,4,474122
2009,5,353728
2009,6,416672
2009,7,451557
2009,8,421042
2009,9,387669
2009,10,455182
2009,11,389943
2009,12,487082
2010,1,358390
2010,2,440000
2010,3,515295
2010,4,401017
2010,5,402907
2010,6,458828
2010,7,453507
2010,8,438120
2010,9,440369
2010,10,444395
2010,11,410546
2010,12,481135
2011,1,415699
2011,2,452845
2011,3,467727
2011,4,467631
2011,5,413998
2011,6,466036
2011,7,426653
2011,8,485605
2011,9,447117
2011,10,447332
2011,11,415048
2011,12,485055
2012,1,435944
2012,2,473026
2012,3,499259
2012,4,458275.1
2012,5,448148.9
2012,6,494323
2012,7,430859
2012,8,501403
2012,9,433817
2012,10,515830
2012,11,476295
2012,12,472324
2013,1,475783
2013,2,493499
2013,3,492211
2013,4,498371
2013,5,488527
2013,6,451429
2013,7,489661
2013,8,526379
2013,9,455966
2013,10,582474
2013,11,445598
2013,12,493925
2014,1,511989
2014,2,518154
2014,3,485669
2014,4,557869
2014,5,522470
2014,6,487495
2014,7,532625
2014,8,543064
2014,9,481266
2014,10,558759
2014,11,483523
2014,12,557979
2015,1,522463
2015,2,527842
2015,3,493537
2015,4,616548
2015,5,436086
2015,6,530084
2015,7,568095
2015,8,527559
2015,9,495870
2015,10,570063
2015,11,498461
2015,12,627595
2016,1,441799
2016,2,539561
2016,3,552321
2016,4,566857
2016,5,510349
2016,6,557979
2016,7,535394
2016,8,587125
2016,9,544878
2016,10,546718
2016,11,516487
2016,12,585659
2017,1,526530
2017,2,556412
2017,3,596741
2017,4,563384
2017,5,526263
2017,6,601395
2017,7,525256
2017,8,658559
2017,9,504645
2017,10,567628
2017,11,542674
2017,12,596438
2018,1,548714
2018,2,583534
2018,3,618857
2018,4,586867
2018,5,561840
2018,6,614333
2018,7,551349
2018,8,626381
2018,9,548472
2018,10,631282
2018,11,590368
2018,12,585301
2019,1,582042
2019,2,606363
2019,3,599386
2019,4,651602
2019,5,615509
2019,6,573777
2019,7,615943
2019,8,647629
2019,9,576818
2019,10,720105
2019,11,551332
2019,12,616069
2020,1,636983
2020,2,632867
2020,3,601270
2020,4,745136
2020,5,531938
2020,6,638389
2020,7,681182
2020,8,640180
2020,9,606350
2020,10,685842
2020,11,609331
2020,12,749039
2021,1,554822
2021,2,654669
2021,3,671753
2021,4,691775
2021,5,634576
2021,6,720300
2021,7,711660
2021,8,672565
2021,9,647095
2021,10,707837
2021,11,637338
2021,12,710917
2022,1,649807
2022,2,678780
2022,3,692261
2022,4,713113
2022,5,654279
2022,6,700157
2022,7,679634
2022,8,723470
2022,9,690428
2022,10,696280
2022,11,658040
2022,12,733348
2023,1,758653
2023,2,780883
2023,3,821464
2023,4,798372
2023,5,995907
2023,6,835185
2023,7,751667
2023,8,1107028
2023,9,807967
2023,10,891092
2023,11,851362
2023,12,919112
2024,1,895227
2024,2,943417
2024,3,979104
2024,4,966154
2024,5,997734
2024,6,1212540
2024,7,958642
2024,8,997863
2024,9,910731
2024,10,1104505
2024,11,914201
2024,12,1723682
2025,1,992461
2025,2,986849
2025,3,944870
2025,4,1033651
2025,5,983560
2025,6,946311
2025,7,992844
2025,8,967735
2025,9,978440
2025,10,1047507
2025,11,958597
2025,12,1927004
2026,1,1017878
2026,2,1025822
2026,3,1003936
2026,4,1142722
