vekova_skupina,pohlavie,pocet_tis
0–4,Muži,140.52
5–9,Muži,152.78
10–14,Muži,151.45
15–19,Muži,143.95
20–24,Muži,136.17
25–29,Muži,153.41
30–34,Muži,192.85
35–39,Muži,214.08
40–44,Muži,227.88
45–49,Muži,233.36
50–54,Muži,195.42
55–59,Muži,168.74
60–64,Muži,164.26
65–69,Muži,153.91
70–74,Muži,123.62
75–79,Muži,72.75
80–84,Muži,38.94
85–89,Muži,16.86
90–94,Muži,6.1
95–99,Muži,1.27
100+,Muži,0.11
0–4,Ženy,133.52
5–9,Ženy,145.06
10–14,Ženy,144.6
15–19,Ženy,136.09
20–24,Ženy,129.32
25–29,Ženy,146.21
30–34,Ženy,185.15
35–39,Ženy,205.93
40–44,Ženy,215.39
45–49,Ženy,222.52
50–54,Ženy,192.89
55–59,Ženy,174.88
60–64,Ženy,179.54
65–69,Ženy,185.05
70–74,Ženy,167.35
75–79,Ženy,116.37
80–84,Ženy,76.7
85–89,Ženy,40.95
90–94,Ženy,16.8
95–99,Ženy,3.7
100+,Ženy,0.35
