rok,pohlavie,priemer_rokov,pocet_zomretych
2000,Muži,14.92,18201
2000,Ženy,24.18,20756
2001,Muži,14.96,18262
2001,Ženy,24.26,21047
2002,Muži,15.0,18346
2002,Ženy,24.34,21338
2003,Muži,15.05,18452
2003,Ženy,24.41,21631
2004,Muži,15.11,18578
2004,Ženy,24.67,21758
2005,Muži,15.5,18309
2005,Ženy,24.73,22053
2006,Muži,15.55,18298
2006,Ženy,24.79,22137
2007,Muži,15.6,18318
2007,Ženy,25.06,22058
2008,Muži,16.02,17935
2008,Ženy,25.12,22174
2009,Muži,16.07,18014
2009,Ženy,25.17,22303
2010,Muži,16.12,18116
2010,Ženy,25.45,22252
2011,Muži,16.16,18371
2011,Ženy,25.5,22527
2012,Muži,16.21,18638
2012,Ženy,25.55,22805
2013,Muži,16.26,18850
2013,Ženy,25.82,22808
2014,Muži,16.31,19078
2014,Ženy,25.85,23029
2015,Muži,16.36,19320
2015,Ženy,25.88,23257
2016,Muži,16.42,19474
2016,Ženy,26.15,23145
2017,Muži,16.48,19648
2017,Ženy,26.16,23273
2018,Muži,16.55,19840
2018,Ženy,26.44,23174
2019,Muži,16.61,20049
2019,Ženy,26.45,23329
2020,Muži,17.02,22175
2020,Ženy,26.42,26271
2021,Muži,16.94,28332
2021,Ženy,26.27,33469
2022,Muži,16.84,22716
2022,Ženy,26.37,26498
2023,Muži,16.85,20878
2023,Ženy,26.3,24262
2024,Muži,16.9,21112
2024,Ženy,26.25,24388
