rok,pasmo,od_eur,pocet,priemer_eur
2024,do 300,0,23281,246.99
2024,300–400,300,72375,358.7
2024,400–500,400,157080,454.38
2024,500–600,500,204328,550.3
2024,600–700,600,194743,649.07
2024,700–800,700,165016,748.16
2024,800–900,800,125351,847.24
2024,900–1000,900,85382,946.34
2024,1000–1100,1000,52180,1045.45
2024,1100–1200,1100,28653,1144.58
2024,1200–1300,1200,14194,1243.77
2024,1300–1400,1300,6411,1343.1
2024,1400–1500,1400,2717,1442.81
2024,1500–1600,1500,1159,1543.35
2024,1600–1700,1600,563,1644.97
2024,1700–1800,1700,343,1746.83
2024,1800–1900,1800,250,1847.78
2024,1900–2000,1900,194,1947.91
2024,2000–2500,2000,424,2179.31
2024,2500 a viac,2500,46,2657.53
