rok,vek,nadej_dozitia_celkom
1970,0,69.7
1970,10,72.3
1970,45,74.24
1970,65,78.56
1970,80,85.76
1971,0,69.8
1971,10,72.36
1971,45,74.3
1971,65,78.6
1971,80,85.79
1972,0,69.9
1972,10,72.42
1972,45,74.35
1972,65,78.64
1972,80,85.81
1973,0,70.0
1973,10,72.48
1973,45,74.41
1973,65,78.69
1973,80,85.83
1974,0,70.1
1974,10,72.54
1974,45,74.46
1974,65,78.73
1974,80,85.86
1975,0,70.2
1975,10,72.6
1975,45,74.52
1975,65,78.77
1975,80,85.88
1976,0,70.24
1976,10,72.6
1976,45,74.52
1976,65,78.77
1976,80,85.88
1977,0,70.28
1977,10,72.6
1977,45,74.51
1977,65,78.76
1977,80,85.88
1978,0,70.32
1978,10,72.6
1978,45,74.51
1978,65,78.76
1978,80,85.88
1979,0,70.36
1979,10,72.59
1979,45,74.51
1979,65,78.76
1979,80,85.88
1980,0,70.4
1980,10,72.59
1980,45,74.51
1980,65,78.76
1980,80,85.88
1981,0,70.48
1981,10,72.62
1981,45,74.53
1981,65,78.78
1981,80,85.89
1982,0,70.56
1982,10,72.64
1982,45,74.55
1982,65,78.79
1982,80,85.9
1983,0,70.64
1983,10,72.66
1983,45,74.57
1983,65,78.81
1983,80,85.91
1984,0,70.72
1984,10,72.68
1984,45,74.59
1984,65,78.82
1984,80,85.92
1985,0,70.8
1985,10,72.71
1985,45,74.61
1985,65,78.84
1985,80,85.92
1986,0,70.84
1986,10,72.69
1986,45,74.6
1986,65,78.83
1986,80,85.92
1987,0,70.88
1987,10,72.67
1987,45,74.58
1987,65,78.82
1987,80,85.91
1988,0,70.92
1988,10,72.65
1988,45,74.57
1988,65,78.8
1988,80,85.9
1989,0,70.96
1989,10,72.64
1989,45,74.55
1989,65,78.79
1989,80,85.9
1990,0,71.0
1990,10,72.62
1990,45,74.53
1990,65,78.78
1990,80,85.89
1991,0,71.3
1991,10,72.87
1991,45,74.76
1991,65,78.95
1991,80,85.99
1992,0,71.6
1992,10,73.11
1992,45,74.98
1992,65,79.12
1992,80,86.09
1993,0,71.9
1993,10,73.36
1993,45,75.21
1993,65,79.29
1993,80,86.19
1994,0,72.2
1994,10,73.61
1994,45,75.44
1994,65,79.46
1994,80,86.29
1995,0,72.5
1995,10,73.85
1995,45,75.66
1995,65,79.63
1995,80,86.4
1996,0,72.66
1996,10,73.96
1996,45,75.76
1996,65,79.7
1996,80,86.44
1997,0,72.82
1997,10,74.06
1997,45,75.85
1997,65,79.77
1997,80,86.49
1998,0,72.98
1998,10,74.16
1998,45,75.95
1998,65,79.85
1998,80,86.53
1999,0,73.14
1999,10,74.27
1999,45,76.04
1999,65,79.92
1999,80,86.57
2000,0,73.3
2000,10,74.37
2000,45,76.14
2000,65,79.99
2000,80,86.62
2001,0,73.48
2001,10,74.52
2001,45,76.28
2001,65,80.1
2001,80,86.69
2002,0,73.66
2002,10,74.68
2002,45,76.42
2002,65,80.21
2002,80,86.75
2003,0,73.84
2003,10,74.83
2003,45,76.57
2003,65,80.32
2003,80,86.82
2004,0,74.02
2004,10,74.99
2004,45,76.71
2004,65,80.43
2004,80,86.89
2005,0,74.2
2005,10,75.14
2005,45,76.85
2005,65,80.54
2005,80,86.96
2006,0,74.48
2006,10,75.39
2006,45,77.09
2006,65,80.73
2006,80,87.07
2007,0,74.76
2007,10,75.65
2007,45,77.32
2007,65,80.91
2007,80,87.19
2008,0,75.04
2008,10,75.9
2008,45,77.56
2008,65,81.09
2008,80,87.31
2009,0,75.32
2009,10,76.15
2009,45,77.8
2009,65,81.28
2009,80,87.42
2010,0,75.6
2010,10,76.41
2010,45,78.03
2010,65,81.47
2010,80,87.54
2011,0,75.82
2011,10,76.6
2011,45,78.21
2011,65,81.61
2011,80,87.63
2012,0,76.04
2012,10,76.78
2012,45,78.38
2012,65,81.75
2012,80,87.72
2013,0,76.26
2013,10,77.0
2013,45,78.59
2013,65,81.91
2013,80,87.83
2014,0,76.48
2014,10,77.23
2014,45,78.8
2014,65,82.08
2014,80,87.94
2015,0,76.7
2015,10,77.45
2015,45,79.01
2015,65,82.24
2015,80,88.05
2016,0,76.98
2016,10,77.72
2016,45,79.27
2016,65,82.45
2016,80,88.18
2017,0,77.25
2017,10,78.0
2017,45,79.53
2017,65,82.66
2017,80,88.32
2018,0,77.53
2018,10,78.28
2018,45,79.79
2018,65,82.88
2018,80,88.46
2019,0,77.8
2019,10,78.55
2019,45,80.05
2019,65,83.09
2019,80,88.61
2020,0,76.9
2020,10,77.65
2020,45,79.2
2020,65,82.4
2020,80,88.15
2021,0,74.6
2021,10,75.33
2021,45,77.03
2021,65,80.68
2021,80,87.05
2022,0,77.0
2022,10,77.75
2022,45,79.29
2022,65,82.47
2022,80,88.2
2023,0,78.2
2023,10,78.96
2023,45,80.43
2023,65,83.4
2023,80,88.82
2024,0,78.5
2024,10,79.25
2024,45,80.71
2024,65,83.63
2024,80,88.97
