mesiac,aktiva_mil_eur,pocet_sporitelov
2013-12,6090.0,1450000
2014-01,6111.25,1450083
2014-02,6132.58,1450167
2014-03,6153.98,1450250
2014-04,6175.46,1450333
2014-05,6197.01,1450417
2014-06,6218.64,1450500
2014-07,6240.34,1450583
2014-08,6262.12,1450667
2014-09,6283.98,1450750
2014-10,6305.91,1450833
2014-11,6327.92,1450917
2014-12,6350.0,1451000
2015-01,6374.47,1451083
2015-02,6399.04,1451167
2015-03,6423.71,1451250
2015-04,6448.47,1451333
2015-05,6473.32,1451417
2015-06,6498.27,1451500
2015-07,6523.31,1451583
2015-08,6548.46,1451667
2015-09,6573.7,1451750
2015-10,6599.03,1451833
2015-11,6624.47,1451917
2015-12,6650.0,1452000
2016-01,6703.41,1453409
2016-02,6757.25,1454820
2016-03,6811.52,1456231
2016-04,6866.23,1457645
2016-05,6921.37,1459059
2016-06,6976.96,1460475
2016-07,7033.0,1461893
2016-08,7089.48,1463311
2016-09,7146.42,1464731
2016-10,7203.82,1466153
2016-11,7261.68,1467576
2016-12,7320.0,1469000
2017-01,7375.92,1470492
2017-02,7432.27,1471985
2017-03,7489.05,1473479
2017-04,7546.27,1474976
2017-05,7603.92,1476473
2017-06,7662.01,1477973
2017-07,7720.55,1479473
2017-08,7779.53,1480976
2017-09,7838.96,1482479
2017-10,7898.85,1483985
2017-11,7959.19,1485492
2017-12,8020.0,1487000
2018-01,8040.54,1488821
2018-02,8061.14,1490644
2018-03,8081.78,1492470
2018-04,8102.48,1494297
2018-05,8123.23,1496127
2018-06,8144.04,1497960
2018-07,8164.9,1499794
2018-08,8185.81,1501631
2018-09,8206.78,1503470
2018-10,8227.8,1505311
2018-11,8248.87,1507154
2018-12,8270.0,1509000
2019-01,8369.04,1513992
2019-02,8469.27,1519000
2019-03,8570.7,1524024
2019-04,8673.34,1529065
2019-05,8777.21,1534123
2019-06,8882.33,1539198
2019-07,8988.71,1544289
2019-08,9096.36,1549397
2019-09,9205.29,1554523
2019-10,9315.54,1559665
2019-11,9427.1,1564824
2019-12,9540.0,1570000
2020-01,9627.15,1574753
2020-02,9715.1,1579521
2020-03,9803.85,1584303
2020-04,9893.41,1589100
2020-05,9983.79,1593911
2020-06,10075.0,1598737
2020-07,10167.04,1603577
2020-08,10259.92,1608432
2020-09,10353.65,1613302
2020-10,10448.23,1618187
2020-11,10543.68,1623086
2020-12,10640.0,1628000
2021-01,10764.94,1633159
2021-02,10891.35,1638335
2021-03,11019.24,1643526
2021-04,11148.63,1648735
2021-05,11279.54,1653960
2021-06,11411.99,1659201
2021-07,11546.0,1664459
2021-08,11681.58,1669734
2021-09,11818.75,1675025
2021-10,11957.53,1680333
2021-11,12097.94,1685658
2021-12,12240.0,1691000
2022-01,12204.44,1695678
2022-02,12168.98,1700369
2022-03,12133.62,1705073
2022-04,12098.37,1709790
2022-05,12063.22,1714521
2022-06,12028.17,1719264
2022-07,11993.22,1724020
2022-08,11958.37,1728790
2022-09,11923.63,1733572
2022-10,11888.99,1738368
2022-11,11854.44,1743177
2022-12,11820.0,1748000
2023-01,11992.18,1755382
2023-02,12166.87,1762794
2023-03,12344.1,1770238
2023-04,12523.91,1777714
2023-05,12706.35,1785221
2023-06,12891.44,1792759
2023-07,13079.23,1800330
2023-08,13269.75,1807933
2023-09,13463.05,1815567
2023-10,13659.16,1823234
2023-11,13858.13,1830933
2023-12,14060.0,1838665
2024-01,14268.75,1847616
2024-02,14480.6,1856611
2024-03,14695.59,1865649
2024-04,14913.77,1874731
2024-05,15135.2,1883858
2024-06,15359.91,1893029
2024-07,15587.96,1902244
2024-08,15819.39,1911505
2024-09,16054.26,1920811
2024-10,16292.62,1930161
2024-11,16534.51,1939558
2024-12,16780.0,1949000
2025-01,16962.07,1954497
2025-02,17146.11,1960010
2025-03,17332.14,1965538
2025-04,17520.2,1971082
2025-05,17710.3,1976642
2025-06,17902.46,1982217
2025-07,18096.7,1987808
2025-08,18293.05,1993415
2025-09,18491.54,1999037
2025-10,18692.17,2004675
2025-11,18894.99,2010330
2025-12,19100.0,2016000
2026-01,19491.09,2021298
2026-02,19890.19,2026611
2026-03,20297.46,2031937
2026-04,20713.07,2037277
2026-05,21137.19,2042632
2026-06,21570.0,2048000
