kohorta,vek,prezitie_pct
1930,0,100.0
1930,1,84.0
1930,2,80.77
1930,3,79.98
1930,4,79.76
1930,5,79.68
1930,6,79.63
1930,7,79.59
1930,8,79.54
1930,9,79.5
1930,10,79.46
1930,11,79.42
1930,12,79.37
1930,13,79.33
1930,14,79.28
1930,15,79.23
1930,16,79.17
1930,17,79.12
1930,18,79.06
1930,19,79.01
1930,20,78.95
1930,21,78.89
1930,22,78.83
1930,23,78.77
1930,24,78.7
1930,25,78.63
1930,26,78.57
1930,27,78.49
1930,28,78.41
1930,29,78.33
1930,30,78.24
1930,31,78.15
1930,32,78.05
1930,33,77.94
1930,34,77.83
1930,35,77.7
1930,36,77.57
1930,37,77.43
1930,38,77.27
1930,39,77.1
1930,40,76.91
1930,41,76.7
1930,42,76.47
1930,43,76.23
1930,44,75.96
1930,45,75.68
1930,46,75.37
1930,47,75.03
1930,48,74.67
1930,49,74.27
1930,50,73.83
1930,51,73.36
1930,52,72.85
1930,53,72.29
1930,54,71.69
1930,55,71.04
1930,56,70.33
1930,57,69.55
1930,58,68.71
1930,59,67.8
1930,60,66.81
1930,61,65.74
1930,62,64.6
1930,63,63.41
1930,64,62.16
1930,65,60.84
1930,66,59.45
1930,67,57.98
1930,68,56.42
1930,69,54.77
1930,70,53.02
1930,71,51.19
1930,72,49.27
1930,73,47.27
1930,74,45.2
1930,75,43.05
1930,76,40.84
1930,77,38.6
1930,78,36.33
1930,79,34.04
1930,80,31.74
1930,81,29.44
1930,82,27.15
1930,83,24.87
1930,84,22.63
1930,85,20.45
1930,86,18.33
1930,87,16.3
1930,88,14.38
1930,89,12.57
1930,90,10.88
1930,91,9.15
1930,92,7.2
1930,93,5.84
1930,94,4.77
1930,95,3.84
1930,96,3.03
1930,97,2.35
1930,98,1.79
1930,99,1.33
1930,100,0.96
1950,0,100.0
1950,1,91.0
1950,2,89.17
1950,3,88.73
1950,4,88.6
1950,5,88.54
1950,6,88.5
1950,7,88.46
1950,8,88.42
1950,9,88.38
1950,10,88.34
1950,11,88.3
1950,12,88.25
1950,13,88.21
1950,14,88.16
1950,15,88.12
1950,16,88.07
1950,17,88.02
1950,18,87.97
1950,19,87.91
1950,20,87.85
1950,21,87.79
1950,22,87.73
1950,23,87.66
1950,24,87.59
1950,25,87.52
1950,26,87.44
1950,27,87.36
1950,28,87.27
1950,29,87.17
1950,30,87.07
1950,31,86.97
1950,32,86.85
1950,33,86.73
1950,34,86.6
1950,35,86.46
1950,36,86.3
1950,37,86.14
1950,38,85.96
1950,39,85.77
1950,40,85.56
1950,41,85.33
1950,42,85.09
1950,43,84.83
1950,44,84.56
1950,45,84.27
1950,46,83.97
1950,47,83.64
1950,48,83.28
1950,49,82.89
1950,50,82.48
1950,51,82.03
1950,52,81.55
1950,53,81.04
1950,54,80.49
1950,55,79.9
1950,56,79.26
1950,57,78.59
1950,58,77.88
1950,59,77.12
1950,60,76.31
1950,61,75.46
1950,62,74.55
1950,63,73.59
1950,64,72.56
1950,65,71.47
1950,66,70.32
1950,67,69.11
1950,68,67.84
1950,69,66.51
1950,70,65.11
1950,71,63.46
1950,72,61.26
1950,73,59.42
1950,74,57.67
1950,75,55.85
1950,76,53.96
1950,77,51.98
1950,78,49.92
1950,79,47.79
1950,80,45.58
1950,81,43.31
1950,82,40.97
1950,83,38.57
1950,84,36.12
1950,85,33.63
1950,86,31.12
1950,87,28.6
1950,88,26.09
1950,89,23.61
1950,90,21.18
1950,91,18.82
1950,92,16.55
1950,93,14.38
1950,94,12.34
1950,95,10.44
1950,96,8.7
1950,97,7.14
1950,98,5.75
1950,99,4.54
1950,100,3.51
1970,0,100.0
1970,1,97.46
1970,2,96.87
1970,3,96.7
1970,4,96.63
1970,5,96.58
1970,6,96.53
1970,7,96.49
