rok,vek,pohlavie,kategoria,pocet,priemer_eur
2015,61,M,S,3897,456.38
2015,61,M,C,237,346.87
2015,61,M,V,164,248.73
2015,61,M,CV,10,189.03
2015,62,M,S,12177,469.47
2015,62,M,C,752,356.78
2015,62,M,V,516,255.85
2015,62,M,CV,32,194.41
2015,63,M,S,20024,482.51
2015,63,M,C,1259,366.68
2015,63,M,V,854,262.96
2015,63,M,CV,54,199.86
2015,64,M,S,23074,495.54
2015,64,M,C,1476,376.59
2015,64,M,V,990,270.08
2015,64,M,CV,63,205.25
2015,65,M,S,22378,508.57
2015,65,M,C,1456,386.5
2015,65,M,V,966,277.19
2015,65,M,CV,63,210.64
2015,66,M,S,21423,521.6
2015,66,M,C,1417,396.4
2015,66,M,V,931,284.3
2015,66,M,CV,62,216.02
2015,67,M,S,20460,516.41
2015,67,M,C,1375,392.48
2015,67,M,V,895,281.45
2015,67,M,CV,60,213.89
2015,68,M,S,19479,511.16
2015,68,M,C,1331,388.49
2015,68,M,V,857,278.59
2015,68,M,CV,59,211.7
2015,69,M,S,18480,505.98
2015,69,M,C,1283,384.5
2015,69,M,V,818,275.73
2015,69,M,CV,57,209.57
2015,70,M,S,17464,500.72
2015,70,M,C,1231,380.58
2015,70,M,V,778,272.93
2015,70,M,CV,55,207.38
2015,71,M,S,16756,495.54
2015,71,M,C,1200,376.59
2015,71,M,V,751,270.08
2015,71,M,CV,54,205.25
2015,72,M,S,15999,490.29
2015,72,M,C,1163,372.67
2015,72,M,V,722,267.22
2015,72,M,CV,52,203.06
2015,73,M,S,15195,485.1
2015,73,M,C,1122,368.68
2015,73,M,V,690,264.36
2015,73,M,CV,51,200.93
2015,74,M,S,14347,479.85
2015,74,M,C,1075,364.69
2015,74,M,V,655,261.57
2015,74,M,CV,49,198.73
2015,75,M,S,13460,474.66
2015,75,M,C,1024,360.77
2015,75,M,V,618,258.71
2015,75,M,CV,47,196.61
2015,76,M,S,12506,469.47
2015,76,M,C,965,356.78
2015,76,M,V,578,255.85
2015,76,M,CV,45,194.41
2015,77,M,S,11534,464.22
2015,77,M,C,903,352.79
2015,77,M,V,536,252.99
2015,77,M,CV,42,192.28
2015,78,M,S,10550,459.04
2015,78,M,C,838,348.86
2015,78,M,V,493,250.13
2015,78,M,CV,39,190.09
2015,79,M,S,9561,453.78
2015,79,M,C,770,344.88
2015,79,M,V,450,247.34
2015,79,M,CV,36,187.96
2015,80,M,S,8578,448.6
2015,80,M,C,700,340.95
2015,80,M,V,406,244.48
2015,80,M,CV,33,185.83
2015,81,M,S,7640,443.34
2015,81,M,C,632,336.96
2015,81,M,V,364,241.62
2015,81,M,CV,30,183.64
2015,82,M,S,6720,438.16
2015,82,M,C,564,332.97
2015,82,M,V,322,238.76
2015,82,M,CV,27,181.51
2015,83,M,S,5832,432.91
2015,83,M,C,496,329.05
2015,83,M,V,281,235.97
2015,83,M,CV,24,179.32
2015,84,M,S,4986,427.72
2015,84,M,C,429,325.06
2015,84,M,V,242,233.11
2015,84,M,CV,21,177.19
2015,85,M,S,4193,422.53
2015,85,M,C,366,321.07
2015,85,M,V,204,230.25
2015,85,M,CV,18,175.0
2015,86,M,S,3420,417.28
2015,86,M,C,302,317.15
2015,86,M,V,168,227.39
2015,86,M,CV,15,172.87
2015,87,M,S,2737,412.09
2015,87,M,C,245,313.16
2015,87,M,V,135,224.6
2015,87,M,CV,12,170.68
2015,88,M,S,2144,406.84
2015,88,M,C,194,309.24
2015,88,M,V,106,221.74
2015,88,M,CV,10,168.55
2015,89,M,S,1640,401.66
2015,89,M,C,151,305.25
2015,89,M,V,82,218.88
2015,89,M,CV,8,166.35
2015,90,M,S,1222,396.4
2015,90,M,C,114,301.26
2015,90,M,V,61,216.02
2015,90,M,CV,6,164.23
2015,91,M,S,889,391.22
2015,91,M,C,84,297.34
2015,91,M,V,45,213.23
2015,91,M,CV,4,162.03
2015,92,M,S,626,385.96
2015,92,M,C,60,293.35
2015,92,M,V,32,210.37
2015,92,M,CV,3,159.9
2015,93,M,S,426,380.78
2015,93,M,C,41,289.36
2015,93,M,V,22,207.51
2015,93,M,CV,2,157.71
2015,94,M,S,279,375.53
2015,94,M,C,27,285.43
2015,94,M,V,14,204.65
2015,94,M,CV,1,155.58
2015,95,M,S,175,370.34
2015,95,M,C,17,281.45
2015,95,M,V,9,201.86
2015,95,M,CV,1,153.39
2015,60,Z,S,11178,359.83
2015,60,Z,C,497,273.47
2015,60,Z,V,61,196.14
2015,60,Z,CV,3,149.07
2015,61,Z,S,21267,370.47
2015,61,Z,C,963,281.51
2015,61,Z,V,116,201.93
2015,61,Z,CV,5,153.46
2015,62,Z,S,27398,381.04
2015,62,Z,C,1262,289.56
2015,62,Z,V,151,207.64
2015,62,Z,CV,7,157.84
2015,63,Z,S,27464,391.62
2015,63,Z,C,1287,297.6
2015,63,Z,V,152,213.43
2015,63,Z,CV,7,162.23
2015,64,Z,S,27108,402.19
2015,64,Z,C,1292,305.65
2015,64,Z,V,151,219.21
2015,64,Z,CV,7,166.62
2015,65,Z,S,26720,412.76
2015,65,Z,C,1294,313.69
2015,65,Z,V,150,225.0
2015,65,Z,CV,7,170.94
2015,66,Z,S,26019,423.4
2015,66,Z,C,1281,321.74
2015,66,Z,V,147,230.71
2015,66,Z,CV,7,175.33
2015,67,Z,S,25311,419.14
2015,67,Z,C,1267,318.55
2015,67,Z,V,144,228.45
2015,67,Z,CV,7,173.6
2015,68,Z,S,24586,414.89
2015,68,Z,C,1250,315.35
2015,68,Z,V,140,226.13
2015,68,Z,CV,7,171.87
2015,69,Z,S,23841,410.63
2015,69,Z,C,1231,312.1
2015,69,Z,V,137,223.8
2015,69,Z,CV,7,170.08
2015,70,Z,S,23075,406.44
2015,70,Z,C,1210,308.9
2015,70,Z,V,133,221.47
2015,70,Z,CV,7,168.35
2015,71,Z,S,22726,402.19
2015,71,Z,C,1210,305.65
2015,71,Z,V,132,219.21
2015,71,Z,CV,7,166.62
2015,72,Z,S,22328,397.93
2015,72,Z,C,1207,302.46
2015,72,Z,V,131,216.88
2015,72,Z,CV,7,164.82
2015,73,Z,S,21880,393.74
2015,73,Z,C,1200,299.26
2015,73,Z,V,129,214.56
2015,73,Z,CV,7,163.1
2015,74,Z,S,21379,389.49
2015,74,Z,C,1190,296.01
2015,74,Z,V,126,212.3
2015,74,Z,CV,7,161.3
2015,75,Z,S,20824,385.23
2015,75,Z,C,1176,292.81
2015,75,Z,V,124,209.97
2015,75,Z,CV,7,159.57
2015,76,Z,S,20153,381.04
2015,76,Z,C,1155,289.56
2015,76,Z,V,121,207.64
2015,76,Z,CV,7,157.84
2015,77,Z,S,19436,376.79
2015,77,Z,C,1129,286.37
2015,77,Z,V,117,205.38
2015,77,Z,CV,7,156.05
2015,78,Z,S,18669,372.53
2015,78,Z,C,1100,283.17
2015,78,Z,V,113,203.06
2015,78,Z,CV,7,154.32
2015,79,Z,S,17854,368.35
2015,79,Z,C,1066,279.92
2015,79,Z,V,109,200.73
2015,79,Z,CV,6,152.59
2015,80,Z,S,16992,364.09
2015,80,Z,C,1029,276.72
2015,80,Z,V,104,198.4
2015,80,Z,CV,6,150.8
2015,81,Z,S,16147,359.83
2015,81,Z,C,991,273.47
2015,81,Z,V,99,196.14
