rok,druh,podiel_hdp
2010,Starobné,5.64
2010,Invalidné,1.07
2010,Pozostalostné,0.73
2011,Starobné,5.71
2011,Invalidné,1.07
2011,Pozostalostné,0.72
2012,Starobné,5.72
2012,Invalidné,1.05
2012,Pozostalostné,0.72
2013,Starobné,5.75
2013,Invalidné,1.08
2013,Pozostalostné,0.71
2014,Starobné,5.85
2014,Invalidné,1.06
2014,Pozostalostné,0.71
2015,Starobné,5.9
2015,Invalidné,1.05
2015,Pozostalostné,0.72
2016,Starobné,5.98
2016,Invalidné,1.07
2016,Pozostalostné,0.74
2017,Starobné,6
2017,Invalidné,1.06
2017,Pozostalostné,0.72
2018,Starobné,6.09
2018,Invalidné,1.08
2018,Pozostalostné,0.74
2019,Starobné,6.17
2019,Invalidné,1.1
2019,Pozostalostné,0.74
2020,Starobné,6.22
2020,Invalidné,1.1
2020,Pozostalostné,0.74
2021,Starobné,6.3
2021,Invalidné,1.08
2021,Pozostalostné,0.73
2022,Starobné,6.34
2022,Invalidné,1.09
2022,Pozostalostné,0.73
2023,Starobné,6.46
2023,Invalidné,1.11
2023,Pozostalostné,0.74
2024,Starobné,6.52
2024,Invalidné,1.1
2024,Pozostalostné,0.76
2025,Starobné,6.5
2025,Invalidné,1.1
2025,Pozostalostné,0.74
2026,Starobné,6.64
2026,Invalidné,1.12
2026,Pozostalostné,0.75
2027,Starobné,6.61
2027,Invalidné,1.11
2027,Pozostalostné,0.75
2028,Starobné,6.73
2028,Invalidné,1.13
2028,Pozostalostné,0.77
2029,Starobné,6.77
2029,Invalidné,1.14
2029,Pozostalostné,0.75
2030,Starobné,6.81
2030,Invalidné,1.14
2030,Pozostalostné,0.76
2031,Starobné,6.91
2031,Invalidné,1.12
2031,Pozostalostné,0.78
2032,Starobné,6.94
2032,Invalidné,1.12
2032,Pozostalostné,0.76
2033,Starobné,7.04
2033,Invalidné,1.16
2033,Pozostalostné,0.76
2034,Starobné,7.1
2034,Invalidné,1.13
2034,Pozostalostné,0.76
2035,Starobné,7.17
2035,Invalidné,1.15
2035,Pozostalostné,0.77
2036,Starobné,7.23
2036,Invalidné,1.15
2036,Pozostalostné,0.79
2037,Starobné,7.26
2037,Invalidné,1.18
2037,Pozostalostné,0.78
2038,Starobné,7.32
2038,Invalidné,1.17
2038,Pozostalostné,0.77
2039,Starobné,7.36
2039,Invalidné,1.19
2039,Pozostalostné,0.78
2040,Starobné,7.49
2040,Invalidné,1.19
2040,Pozostalostné,0.77
2041,Starobné,7.55
2041,Invalidné,1.17
2041,Pozostalostné,0.77
2042,Starobné,7.58
2042,Invalidné,1.19
2042,Pozostalostné,0.79
2043,Starobné,7.64
2043,Invalidné,1.16
2043,Pozostalostné,0.8
2044,Starobné,7.67
2044,Invalidné,1.17
2044,Pozostalostné,0.79
2045,Starobné,7.77
2045,Invalidné,1.17
2045,Pozostalostné,0.8
2046,Starobné,7.82
2046,Invalidné,1.21
2046,Pozostalostné,0.79
2047,Starobné,7.86
2047,Invalidné,1.2
2047,Pozostalostné,0.79
2048,Starobné,7.95
2048,Invalidné,1.19
2048,Pozostalostné,0.8
2049,Starobné,8.03
2049,Invalidné,1.2
2049,Pozostalostné,0.79
2050,Starobné,8.09
2050,Invalidné,1.23
2050,Pozostalostné,0.79
2051,Starobné,8.11
2051,Invalidné,1.2
2051,Pozostalostné,0.8
2052,Starobné,8.17
2052,Invalidné,1.21
2052,Pozostalostné,0.81
2053,Starobné,8.18
2053,Invalidné,1.22
2053,Pozostalostné,0.82
2054,Starobné,8.21
2054,Invalidné,1.23
2054,Pozostalostné,0.8
2055,Starobné,8.22
2055,Invalidné,1.21
2055,Pozostalostné,0.79
2056,Starobné,8.22
2056,Invalidné,1.21
2056,Pozostalostné,0.81
2057,Starobné,8.23
2057,Invalidné,1.21
2057,Pozostalostné,0.81
2058,Starobné,8.33
2058,Invalidné,1.24
2058,Pozostalostné,0.81
2059,Starobné,8.29
2059,Invalidné,1.22
2059,Pozostalostné,0.79
2060,Starobné,8.39
2060,Invalidné,1.23
2060,Pozostalostné,0.82
2061,Starobné,8.41
2061,Invalidné,1.24
2061,Pozostalostné,0.82
2062,Starobné,8.38
2062,Invalidné,1.22
2062,Pozostalostné,0.8
2063,Starobné,8.42
2063,Invalidné,1.25
2063,Pozostalostné,0.82
2064,Starobné,8.46
2064,Invalidné,1.25
2064,Pozostalostné,0.82
2065,Starobné,8.52
2065,Invalidné,1.23
2065,Pozostalostné,0.8
2066,Starobné,8.48
2066,Invalidné,1.25
2066,Pozostalostné,0.8
2067,Starobné,8.5
2067,Invalidné,1.25
2067,Pozostalostné,0.81
2068,Starobné,8.55
2068,Invalidné,1.26
2068,Pozostalostné,0.82
2069,Starobné,8.58
2069,Invalidné,1.26
2069,Pozostalostné,0.82
2070,Starobné,8.6
2070,Invalidné,1.23
2070,Pozostalostné,0.81
